PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Karl-Anthony Towns;C;MIN;24;23;9;14;779;609;207;403;51.4;82;196;41.8;113;142;79.6;63;206;269;101;72;24;29;80;1170.3;18;0;7
Montrezl Harrell;C;LAC;25;28;20;8;826;535;217;377;57.6;0;11;0;101;155;65.2;81;132;213;55;49;21;35;68;992.1;6;0;164
Joel Embiid;C;PHI;25;22;17;5;675;501;159;345;46.1;24;76;31.6;159;196;81.1;53;218;271;73;72;20;29;77;1010.7;17;0;124
Domantas Sabonis;C;IND;23;25;17;8;859;443;176;345;51;5;26;19.2;86;110;78.2;84;253;337;96;69;20;13;94;1021.4;22;0;154
Andre Drummond;C;DET;26;25;10;15;845;442;185;339;54.6;0;13;0;72;114;63.2;115;301;416;73;89;43;46;96;1228.7;21;0;5
Jaren Jackson Jr.;C;MEM;20;25;9;16;681;439;159;335;47.5;60;150;40;61;79;77.2;27;93;120;37;48;13;31;106;722.5;1;0;-142
LaMarcus Aldridge;C;SAS;34;23;9;14;767;432;174;348;50;13;38;34.2;71;87;81.6;47;117;164;55;37;14;41;51;839.3;4;0;-125
Nikola Jokic;C;DEN;24;25;17;8;785;426;173;360;48.1;27;103;26.2;53;68;77.9;53;201;254;162;62;25;14;75;1028.8;13;4;133
Bam Adebayo;C;MIA;22;26;19;7;877;396;149;255;58.4;1;8;12.5;97;149;65.1;67;209;276;120;75;36;31;70;1033.2;16;2;129
Hassan Whiteside;C;POR;30;23;10;13;653;372;154;249;61.8;1;1;100;63;82;76.8;84;202;286;32;43;10;56;68;918.2;17;0;22
Rudy Gobert;C;UTA;27;24;14;10;817;352;135;198;68.2;0;0;0;82;133;61.7;84;245;329;35;52;19;43;75;933.3;18;0;75
Wendell Carter Jr.;C;CHI;20;28;10;18;831;336;130;230;56.5;2;16;12.5;74;103;71.8;97;177;274;28;40;23;24;114;807.8;13;0;4
Tristan Thompson;C;CLE;28;25;6;19;774;328;141;274;51.5;3;7;42.9;43;78;55.1;102;143;245;58;43;21;28;62;813;13;0;-161
Jarrett Allen;C;BKN;21;26;14;12;683;320;125;190;65.8;0;1;0;70;115;60.9;96;175;271;31;29;18;32;63;812.7;13;0;64
Jonas Valanciunas;C;MEM;27;24;8;16;594;319;134;240;55.8;13;34;38.2;38;50;76;62;171;233;44;56;9;20;68;695.6;13;0;-77
Richaun Holmes;C;SAC;26;26;12;14;750;311;131;196;66.8;0;0;0;49;62;79;68;147;215;25;31;28;34;106;761.5;8;0;42
Clint Capela;C;HOU;25;22;13;9;723;304;138;217;63.6;0;0;0;28;61;45.9;94;230;324;21;34;18;43;61;873.3;17;0;46
Cody Zeller;C;CHA;27;26;10;16;613;302;119;220;54.1;15;46;32.6;49;71;69;77;129;206;32;39;14;12;64;636.2;7;0;-120
Frank Kaminsky;C;PHX;26;25;11;14;599;287;104;230;45.2;32;94;34;47;73;64.4;25;108;133;57;25;10;10;55;567.1;1;0;1
Nikola Vucevic;C;ORL;29;15;7;8;460;259;103;226;45.6;18;55;32.7;35;41;85.4;42;129;171;51;22;10;15;29;593.7;10;0;59
Thomas Bryant;C;WAS;22;18;6;12;511;251;101;184;54.9;10;35;28.6;39;53;73.6;42;111;153;48;24;8;18;44;560.6;5;0;-117
Brook Lopez;C;MIL;31;25;22;3;655;247;83;212;39.2;36;120;30;45;50;90;15;110;125;37;25;16;58;60;649.5;3;0;196
Steven Adams;C;OKC;26;22;10;12;601;246;106;174;60.9;0;1;0;34;66;51.5;71;139;210;62;31;10;29;43;677;8;0;23
Moritz Wagner;C;WAS;22;21;7;14;429;244;93;160;58.1;22;56;39.3;36;43;83.7;34;93;127;28;43;15;13;81;479.4;2;0;-32
Bobby Portis;C;NYK;24;27;6;21;578;243;96;230;41.7;26;74;35.1;25;34;73.5;40;113;153;31;28;16;9;45;520.1;4;0;-129
Kelly Olynyk;C;MIA;28;26;19;7;603;241;79;170;46.5;42;100;42;41;46;89.1;25;106;131;36;34;23;9;71;514.2;1;0;51
Aron Baynes;C;PHX;33;16;8;8;367;228;85;157;54.1;28;72;38.9;30;41;73.2;26;65;91;40;19;4;12;65;426.2;1;0;24
Ivica Zubac;C;LAC;22;28;20;8;466;227;87;150;58;0;2;0;53;67;79.1;64;120;184;24;25;5;30;67;563.8;4;0;52
Mitchell Robinson;C;NYK;21;23;5;18;510;220;89;130;68.5;0;0;0;42;68;61.8;72;85;157;13;18;16;42;77;583.9;1;0;-144
Jaxson Hayes;C;NOP;19;24;6;18;513;219;83;132;62.9;0;3;0;53;81;65.4;45;68;113;19;21;19;25;74;494.1;1;0;7
Larry Nance Jr.;C;CLE;26;24;6;18;608;218;83;166;50;27;74;36.5;25;35;71.4;44;134;178;36;23;20;11;39;555.6;3;0;-98
Alex Len;C;ATL;26;26;6;20;458;213;85;160;53.1;8;33;24.2;35;51;68.6;42;89;131;29;22;14;20;55;493.7;3;0;-115
Bismack Biyombo;C;CHA;27;27;10;17;480;213;82;144;56.9;0;0;0;49;83;59;58;88;146;23;17;6;20;57;483.7;3;0;-53
