PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;24;53;37;16;1714;1094;425;823;51.6;66;203;32.5;178;221;80.5;130;414;544;361;157;61;35;163;2419.3;33;11;233
Montrezl Harrell;C;LAC;26;52;37;15;1465;982;404;700;57.7;0;15;0;174;276;63;139;224;363;92;94;33;58;120;1734.6;8;0;202
Domantas Sabonis;C;IND;23;50;29;21;1731;911;364;671;54.2;13;53;24.5;170;234;72.6;157;473;630;236;142;37;27;167;2071;40;3;163
Karl-Anthony Towns;C;MIN;24;34;10;24;1150;903;311;609;51.1;111;271;41;170;214;79.4;91;277;368;146;105;32;41;113;1677.6;23;0;-8
LaMarcus Aldridge;C;SAS;34;48;20;28;1588;896;350;698;50.1;55;134;41;141;169;83.4;93;266;359;113;66;30;81;114;1763.3;13;0;-130
Andre Drummond;C;CLE;26;50;17;33;1683;889;367;696;52.7;3;24;12.5;152;262;58;233;556;789;141;178;99;83;177;2415.3;43;0;-143
Jaren Jackson Jr.;C;MEM;20;51;27;24;1430;883;320;680;47.1;130;326;39.9;113;152;74.3;52;191;243;72;87;34;84;207;1549.6;3;0;-85
Joel Embiid;C;PHI;25;38;24;14;1160;867;282;605;46.6;49;147;33.3;254;312;81.4;102;354;456;123;116;31;52;132;1731.7;30;0;103
Bam Adebayo;C;MIA;22;52;34;18;1805;833;325;559;58.1;1;11;9.1;182;265;68.7;135;405;540;254;143;61;62;127;2088;30;3;203
Nikola Vucevic;C;ORL;29;42;17;25;1342;791;316;695;45.5;69;202;34.2;90;115;78.3;112;344;456;148;63;36;39;97;1722.2;26;0;-16
Rudy Gobert;C;UTA;27;50;33;17;1725;777;296;431;68.7;0;0;0;185;303;61.1;186;537;723;77;98;35;98;152;2061.1;40;0;311
Hassan Whiteside;C;POR;30;49;25;24;1509;770;318;522;60.9;2;4;50;132;184;71.7;197;496;693;55;93;20;153;144;2110.1;39;0;87
Jonas Valanciunas;C;MEM;27;50;25;25;1299;746;315;534;59;27;72;37.5;89;122;73;139;381;520;94;90;22;59;133;1664;25;0;11
Serge Ibaka;C;TOR;30;43;31;12;1162;682;278;531;52.4;50;126;39.7;76;103;73.8;89;254;343;60;83;23;35;116;1274.6;15;0;58
Tristan Thompson;C;CLE;28;49;13;36;1505;578;242;478;50.6;4;11;36.4;90;140;64.3;201;304;505;102;95;31;44;111;1467;22;0;-388
Jarrett Allen;C;BKN;21;51;23;28;1370;563;220;342;64.3;0;5;0;123;196;62.8;157;335;492;71;59;33;74;123;1521.9;22;0;58
Clint Capela;C;ATL;25;39;22;17;1279;543;244;388;62.9;0;0;0;55;104;52.9;168;369;537;48;63;33;72;102;1511.4;27;0;60
Cody Zeller;C;CHA;27;49;14;35;1132;542;213;414;51.4;17;69;24.6;99;144;68.8;136;209;345;71;63;33;22;125;1164.5;9;0;-218
Brook Lopez;C;MIL;31;50;43;7;1335;520;194;455;42.6;69;235;29.4;63;75;84;30;197;227;80;44;34;128;115;1354.4;3;0;425
Bobby Portis;C;NYK;24;54;17;37;1126;512;202;467;43.3;55;156;35.3;53;71;74.6;75;208;283;84;56;27;10;92;1032.6;5;0;-179
Myles Turner;C;IND;23;43;24;19;1251;506;177;394;44.9;61;178;34.3;91;120;75.8;51;212;263;52;58;30;85;109;1186.6;5;0;-10
Steven Adams;C;OKC;26;47;29;18;1262;503;209;355;58.9;0;2;0;85;145;58.6;157;277;434;122;70;30;52;91;1382.8;16;0;119
Richaun Holmes;C;SAC;26;37;14;23;1087;484;204;309;66;0;0;0;76;93;81.7;113;201;314;37;46;39;52;144;1143.3;13;0;7
Mitchell Robinson;C;NYK;21;50;16;34;1136;457;195;268;72.8;0;0;0;67;113;59.3;141;192;333;27;33;45;93;164;1278.1;4;0;-127
Wendell Carter Jr.;C;CHI;20;37;13;24;1109;433;166;309;53.7;6;28;21.4;95;129;73.6;130;236;366;44;62;30;33;142;1065.2;17;0;25
Deandre Ayton;C;PHX;21;23;10;13;760;431;193;358;53.9;0;2;0;45;56;80.4;91;185;276;50;44;17;37;72;955.2;15;0;63
