PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;24;46;32;14;1463;905;349;688;50.7;57;179;31.8;150;189;79.4;113;351;464;301;130;49;26;142;2008.3;27;9;206
Montrezl Harrell;C;LAC;26;46;33;13;1321;887;360;634;56.8;0;15;0;167;265;63;127;203;330;83;86;32;52;106;1573.5;8;0;195
LaMarcus Aldridge;C;SAS;34;43;19;24;1426;822;320;628;51;51;119;42.9;131;155;84.5;86;236;322;101;60;26;74;107;1599.9;12;0;-113
Jaren Jackson Jr.;C;MEM;20;45;22;23;1268;810;294;608;48.4;120;292;41.1;102;137;74.5;46;169;215;63;78;31;68;186;1381.5;2;0;-95
Domantas Sabonis;C;IND;23;44;28;16;1511;795;319;594;53.7;11;45;24.4;146;200;73;148;416;564;201;122;35;25;146;1831.3;36;2;174
Karl-Anthony Towns;C;MIN;24;29;9;20;964;783;270;524;51.5;98;239;41;145;178;81.5;78;236;314;124;88;27;35;99;1443.8;19;0;-12
Andre Drummond;C;DET;26;43;15;28;1447;746;306;581;52.7;1;21;4.8;133;223;59.6;192;488;680;117;153;88;76;158;2076.5;37;0;-80
Joel Embiid;C;PHI;25;31;21;10;963;725;238;504;47.2;38;118;32.2;211;252;83.7;79;303;382;102;93;25;42;109;1444.4;24;0;133
Bam Adebayo;C;MIA;22;45;31;14;1555;714;272;464;58.6;1;10;10;169;245;69;117;351;468;211;128;53;52;112;1779.1;25;2;176
Nikola Vucevic;C;ORL;29;36;16;20;1137;677;267;600;44.5;61;172;35.5;82;101;81.2;97;299;396;124;51;34;30;84;1479.2;23;0;25
Rudy Gobert;C;UTA;27;43;31;12;1475;677;262;380;68.9;0;0;0;153;247;61.9;158;467;625;72;83;31;87;133;1806;34;0;344
Hassan Whiteside;C;POR;30;43;20;23;1318;672;277;463;59.8;2;4;50;116;157;73.9;175;429;604;52;85;15;131;131;1827.8;34;0;47
Jonas Valanciunas;C;MEM;27;43;20;23;1093;637;267;449;59.5;26;63;41.3;77;105;73.3;118;314;432;84;86;18;44;112;1381.4;21;0;-25
Clint Capela;C;HOU;25;38;22;16;1262;541;243;387;62.8;0;0;0;55;102;53.9;165;365;530;47;60;33;72;101;1502.5;27;0;75
Tristan Thompson;C;CLE;28;44;12;32;1384;541;227;445;51;3;8;37.5;84;132;63.6;184;272;456;95;88;30;43;105;1361.7;21;0;-347
Serge Ibaka;C;TOR;30;36;24;12;942;531;216;430;50.2;35;92;38;64;86;74.4;77;217;294;47;68;19;30;97;1033.3;13;0;26
Jarrett Allen;C;BKN;21;45;19;26;1225;512;199;309;64.4;0;4;0;114;179;63.7;140;299;439;55;53;30;63;110;1347.3;21;0;10
Cody Zeller;C;CHA;27;43;13;30;988;484;188;359;52.4;17;66;25.8;91;132;68.9;119;179;298;52;56;27;19;107;1001.6;7;0;-177
Richaun Holmes;C;SAC;26;37;14;23;1087;484;204;309;66;0;0;0;76;93;81.7;113;201;314;37;46;39;52;144;1143.3;13;0;7
Myles Turner;C;IND;23;38;24;14;1099;459;162;363;44.6;54;161;33.5;81;109;74.3;47;182;229;44;47;27;74;97;1055.8;5;0;34
Bobby Portis;C;NYK;24;47;13;34;989;458;180;412;43.7;49;136;36;49;67;73.1;68;192;260;75;48;25;9;86;936.5;5;0;-166
Steven Adams;C;OKC;26;41;25;16;1101;452;188;314;59.9;0;1;0;76;134;56.7;140;249;389;107;60;27;48;74;1244.3;16;0;118
Brook Lopez;C;MIL;31;44;38;6;1156;447;162;393;41.2;62;210;29.5;61;71;85.9;27;178;205;68;40;31;112;96;1184;3;0;345
Wendell Carter Jr.;C;CHI;20;37;13;24;1109;433;166;309;53.7;6;28;21.4;95;129;73.6;130;236;366;44;62;30;33;142;1065.2;17;0;25
Mitchell Robinson;C;NYK;21;43;12;31;972;407;172;240;71.7;0;0;0;63;103;61.2;119;166;285;22;30;35;77;144;1088;3;0;-135
Ivica Zubac;C;LAC;22;47;33;14;827;381;153;259;59.1;0;2;0;75;102;73.5;120;207;327;46;40;8;44;106;958.4;6;0;111
Aron Baynes;C;PHX;33;33;15;18;756;378;146;298;49;42;126;33.3;44;61;72.1;54;136;190;62;39;7;19;116;738;2;0;-41
Jaxson Hayes;C;NOP;19;44;18;26;850;374;138;208;66.3;1;4;25;97;155;62.6;75;127;202;42;37;21;49;125;852.4;3;0;-15
Frank Kaminsky;C;PHX;26;32;12;20;718;352;127;279;45.5;39;112;34.8;59;88;67;30;128;158;71;33;13;10;69;684.1;1;0;-32
Dwight Howard;C;LAL;34;46;36;10;923;351;144;199;72.4;3;5;60;60;128;46.9;121;235;356;32;56;21;66;150;1031.2;5;0;125
Alex Len;C;ATL;26;40;9;31;745;349;142;260;54.6;14;56;25;51;81;63;69;161;230;42;39;20;33;93;808;7;0;-132
Enes Kanter;C;BOS;27;36;22;14;667;342;148;246;60.2;1;5;20;45;66;68.2;107;187;294;38;39;16;32;68;856.8;7;0;160
Daniel Theis;C;BOS;27;41;26;15;916;335;138;254;54.3;17;56;30.4;42;61;68.9;78;168;246;66;33;27;61;139;960.2;2;0;118
Willie Cauley-Stein;C;DAL;26;41;9;32;940;323;144;257;56;0;0;0;35;57;61.4;71;184;255;60;35;45;50;102;969;2;0;-137
Bismack Biyombo;C;CHA;27;43;13;30;822;321;124;231;53.7;0;0;0;73;118;61.9;100;152;252;36;38;9;36;95;774.4;6;0;-116
JaVale McGee;C;LAL;32;44;35;9;749;321;141;218;64.7;3;5;60;36;58;62.1;87;172;259;31;34;24;75;106;941.3;2;0;138
Gorgui Dieng;C;MIN;30;42;13;29;741;320;116;263;44.1;43;113;38.1;45;56;80.4;69;175;244;56;39;36;38;87;879.8;6;0;-104
Kelly Olynyk;C;MIA;28;41;29;12;799;320;106;228;46.5;54;133;40.6;54;61;88.5;31;158;189;52;43;27;10;101;692.8;2;0;12
Larry Nance Jr.;C;CLE;27;37;9;28;902;318;128;243;52.7;35;99;35.4;27;45;60;64;200;264;63;36;31;15;58;831.3;6;0;-130
Mason Plumlee;C;DEN;29;43;30;13;750;317;127;210;60.5;0;4;0;63;114;55.3;79;160;239;105;63;23;27;95;848.3;2;0;6
Nerlens Noel;C;OKC;25;38;23;15;720;310;123;182;67.6;1;2;50;63;79;79.7;59;140;199;44;40;40;60;97;874.8;3;0;-18
Thomas Bryant;C;WAS;22;25;8;17;628;306;125;221;56.6;14;41;34.1;42;56;75;47;133;180;53;34;9;21;55;657.5;5;0;-151
DeAndre Jordan;C;BKN;31;37;16;21;777;295;120;183;65.6;0;0;0;55;81;67.9;87;273;360;73;48;15;35;73;938.5;7;0;-98
Derrick Favors;C;NOP;28;28;12;16;683;279;126;204;61.8;1;4;25;26;43;60.5;92;189;281;54;35;17;32;64;809.2;13;0;13
Deandre Ayton;C;PHX;21;16;8;8;520;273;120;232;51.7;0;1;0;33;41;80.5;60;133;193;31;26;11;23;49;627.1;11;0;51
Meyers Leonard;C;MIA;27;45;31;14;911;272;105;201;52.2;45;105;42.9;17;24;70.8;26;193;219;52;32;13;15;93;664.8;1;0;72
Marc Gasol;C;TOR;34;34;26;8;957;262;94;226;41.6;48;122;39.3;26;36;72.2;28;197;225;121;43;28;31;98;847.5;3;0;236
Moritz Wagner;C;WAS;22;21;7;14;429;244;93;160;58.1;22;56;39.3;36;43;83.7;34;93;127;28;43;15;13;81;479.4;2;0;-32
Damian Jones;C;ATL;24;42;11;31;668;243;96;140;68.6;2;7;28.6;49;68;72.1;55;91;146;24;22;16;32;121;576.2;0;0;-206
Taj Gibson;C;NYK;34;44;13;31;733;242;107;195;54.9;2;10;20;26;36;72.2;81;112;193;43;36;23;18;93;625.1;0;0;-181
Robin Lopez;C;MIL;31;42;36;6;600;233;98;192;51;17;63;27;20;39;51.3;40;75;115;28;37;6;29;53;481;0;0;92
Mo Bamba;C;ORL;21;43;20;23;661;230;94;210;44.8;24;77;31.2;18;28;64.3;65;157;222;28;33;17;59;79;733.4;1;0;31
Jakob Poeltl;C;SAS;24;45;20;25;769;227;100;165;60.6;0;0;0;27;49;55.1;80;166;246;81;36;22;70;77;883.7;1;0;60
Ian Mahinmi;C;WAS;33;25;9;16;563;209;74;144;51.4;5;18;27.8;56;88;63.6;57;93;150;37;36;21;35;74;576.5;1;0;-67
Jahlil Okafor;C;NOP;24;25;7;18;403;208;85;138;61.6;1;2;50;37;57;64.9;44;69;113;35;35;5;19;61;433.1;2;0;-85
Nicolo Melli;C;NOP;29;35;14;21;519;194;66;151;43.7;32;94;34;30;37;81.1;17;66;83;35;26;20;7;61;401.1;0;0;-75
Bruno Fernando;C;ATL;21;42;11;31;523;174;73;145;50.3;4;30;13.3;24;39;61.5;51;92;143;38;38;14;15;83;451.6;1;0;-38
Thon Maker;C;DET;22;43;17;26;487;173;53;102;52;11;31;35.5;56;83;67.5;32;67;99;20;29;15;24;65;409.8;1;0;-60
Mike Muscala;C;OKC;28;33;19;14;440;160;53;138;38.4;36;105;34.3;18;22;81.8;11;72;83;31;13;7;8;44;338.1;0;0;17
Dewayne Dedmon;C;SAC;30;30;10;20;435;152;59;144;41;13;61;21.3;21;26;80.8;39;94;133;11;42;9;15;79;358.1;2;0;-34
Tony Bradley;C;UTA;22;34;24;10;351;149;65;103;63.1;0;0;0;19;31;61.3;58;89;147;9;18;9;15;70;392.9;0;0;-21
Boban Marjanovic;C;DAL;31;23;13;10;230;143;60;107;56.1;2;7;28.6;21;30;70;32;72;104;9;18;4;5;36;290.3;3;0;66
Anzejs Pasecniks;C;WAS;24;18;6;12;360;137;53;99;53.5;0;2;0;31;50;62;37;57;94;17;22;8;10;57;307.3;0;0;9
Khem Birch;C;ORL;27;33;14;19;697;136;50;103;48.5;0;1;0;36;62;58.1;66;98;164;34;22;15;20;65;466.8;0;0;-63
Luke Kornet;C;CHI;24;28;10;18;371;129;48;124;38.7;20;77;26;13;18;72.2;12;40;52;23;9;7;22;34;303.9;0;0;10
Cheick Diallo;C;PHX;23;29;11;18;265;126;52;80;65;1;2;50;21;25;84;17;55;72;14;14;7;5;29;255.4;1;0;-10
Noah Vonleh;C;MIN;24;28;10;18;347;119;47;86;54.7;2;14;14.3;23;28;82.1;34;82;116;26;19;11;6;36;329.2;0;0;-46
Goga Bitadze;C;IND;20;37;23;14;336;112;44;93;47.3;4;23;17.4;20;29;69;21;61;82;19;18;2;26;45;304.9;1;0;0
Isaiah Hartenstein;C;HOU;21;19;13;6;242;100;41;60;68.3;0;3;0;18;26;69.2;25;58;83;16;13;8;12;37;270.6;2;0;67
Willy Hernangomez;C;CHA;25;17;1;16;126;77;29;50;58;4;11;36.4;15;29;51.7;17;28;45;6;12;1;4;11;143;0;0;-17
Robert Williams III;C;BOS;22;19;14;5;269;74;33;49;67.3;0;0;0;8;14;57.1;23;64;87;21;16;17;21;34;307.9;0;0;2
Kyle O'Quinn;C;PHI;29;21;15;6;217;70;30;61;49.2;7;21;33.3;3;8;37.5;23;54;77;31;18;4;17;29;253.9;1;0;-39
Ante Zizic;C;CLE;23;16;2;14;159;69;28;49;57.1;0;0;0;13;15;86.7;14;41;55;3;5;6;4;20;164.5;1;0;2
Tyson Chandler;C;HOU;37;25;15;10;219;34;14;18;77.8;0;0;0;6;13;46.2;25;41;66;6;8;6;8;32;156.2;0;0;33
