PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Joel Embiid;C;PHI;25;29;20;9;897;687;224;470;47.7;38;112;33.9;201;241;83.4;76;285;361;91;88;23;41;101;1360.7;23;0;133
Montrezl Harrell;C;LAC;25;33;23;10;964;626;257;447;57.5;0;12;0;112;169;66.3;97;149;246;62;63;24;38;77;1137.2;6;0;189
Karl-Anthony Towns;C;MIN;24;23;9;14;779;609;207;403;51.4;82;196;41.8;113;142;79.6;63;206;269;101;72;24;29;80;1170.3;18;0;7
Jaren Jackson Jr.;C;MEM;20;33;13;20;918;581;210;446;47.1;84;212;39.6;77;102;75.5;33;123;156;50;58;21;44;133;980.2;2;0;-146
Nikola Jokic;C;DEN;24;32;23;9;997;577;228;458;49.8;40;129;31;81;100;81;73;246;319;217;81;32;18;100;1354.3;18;7;209
LaMarcus Aldridge;C;SAS;34;29;12;17;953;565;229;447;51.2;23;57;40.4;84;101;83.2;62;156;218;70;42;19;55;66;1111.6;7;0;-101
Andre Drummond;C;DET;26;31;11;20;1045;557;232;421;55.1;0;16;0;93;152;61.2;137;358;495;86;108;58;55;113;1511;26;0;-52
Domantas Sabonis;C;IND;23;31;20;11;1060;538;214;425;50.4;9;33;27.3;101;137;73.7;103;311;414;122;82;25;18;110;1264.8;26;0;167
Bam Adebayo;C;MIA;22;32;24;8;1098;500;186;330;56.4;1;9;11.1;127;185;68.6;82;255;337;147;89;46;40;84;1293.9;19;2;139
Hassan Whiteside;C;POR;30;30;14;16;876;462;191;314;60.8;1;2;50;79;104;76;112;288;400;38;62;13;82;89;1222;23;0;-2
Jonas Valanciunas;C;MEM;27;31;11;20;774;447;190;320;59.4;18;41;43.9;49;66;74.2;82;219;301;59;65;9;27;80;939.7;17;0;-48
Rudy Gobert;C;UTA;27;30;19;11;1037;447;172;250;68.8;0;0;0;103;169;60.9;107;315;422;44;62;21;56;90;1188.4;23;0;142
Richaun Holmes;C;SAC;26;33;12;21;967;424;180;271;66.4;0;0;0;64;78;82.1;101;180;281;36;39;36;43;134;1013.2;11;0;7
Tristan Thompson;C;CLE;28;31;10;21;972;397;169;336;50.3;3;7;42.9;56;97;57.7;123;190;313;71;57;25;31;70;990.1;16;0;-181
Wendell Carter Jr.;C;CHI;20;33;13;20;991;388;149;272;54.8;5;22;22.7;85;118;72;112;210;322;37;52;25;29;130;939.9;14;0;46
Jarrett Allen;C;BKN;21;31;16;15;823;377;146;222;65.8;0;2;0;85;134;63.4;111;211;322;41;37;23;43;76;985.9;16;0;40
Cody Zeller;C;CHA;27;32;11;21;758;375;146;269;54.3;15;53;28.3;68;100;68;94;150;244;40;48;21;14;82;784.8;7;0;-148
