PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;24;55;38;17;1789;1135;440;849;51.8;68;207;32.9;187;231;81;134;429;563;380;165;64;37;172;2518.6;35;11;227
Montrezl Harrell;C;LAC;26;54;37;17;1533;1016;416;722;57.6;0;16;0;184;290;63.4;146;236;382;96;98;35;61;128;1808.4;9;0;199
LaMarcus Aldridge;C;SAS;34;50;21;29;1661;954;372;743;50.1;59;145;40.7;151;182;83;98;281;379;121;71;32;82;120;1861.3;14;0;-113
Domantas Sabonis;C;IND;23;52;30;22;1798;949;379;701;54.1;13;58;22.4;178;245;72.7;158;491;649;251;142;38;27;174;2157.3;41;4;163
Karl-Anthony Towns;C;MIN;24;35;10;25;1187;926;316;622;50.8;114;277;41.2;180;226;79.6;95;283;378;153;110;33;42;117;1724.1;24;0;-15
Andre Drummond;C;CLE;26;51;18;33;1705;903;373;706;52.8;3;25;12;154;265;58.1;238;566;804;142;183;99;85;179;2449.8;44;0;-143
Joel Embiid;C;PHI;25;39;25;14;1188;893;290;622;46.6;51;152;33.6;262;325;80.6;104;361;465;125;117;31;53;136;1773.5;30;0;104
Jaren Jackson Jr.;C;MEM;20;52;28;24;1463;891;321;686;46.8;131;330;39.7;118;158;74.7;52;196;248;73;90;35;87;212;1574.1;3;0;-90
Bam Adebayo;C;MIA;22;54;35;19;1865;855;334;577;57.9;1;11;9.1;186;273;68.1;140;422;562;266;145;67;64;130;2176.4;31;3;164
Nikola Vucevic;C;ORL;29;44;19;25;1415;834;335;731;45.8;74;215;34.4;90;116;77.6;115;361;476;164;65;39;41;100;1826.2;27;0;-7
Rudy Gobert;C;UTA;27;52;35;17;1797;810;310;450;68.9;0;0;0;190;310;61.3;193;565;758;79;102;35;101;160;2144.1;42;0;330
Hassan Whiteside;C;POR;30;51;25;26;1570;803;332;542;61.3;2;4;50;137;193;71;203;515;718;60;98;21;154;152;2181.6;41;0;62
Jonas Valanciunas;C;MEM;27;51;26;25;1327;758;320;545;58.7;27;72;37.5;91;126;72.2;144;394;538;96;91;22;62;136;1708.6;26;0;-3
Serge Ibaka;C;TOR;30;44;31;13;1197;710;288;548;52.6;55;136;40.4;79;107;73.8;90;262;352;60;85;24;37;121;1320.4;15;0;61
Tristan Thompson;C;CLE;28;50;14;36;1531;605;253;494;51.2;7;14;50;92;144;63.9;207;309;516;103;95;32;44;111;1511.7;23;0;-366
Jarrett Allen;C;BKN;21;53;25;28;1410;586;229;357;64.1;0;5;0;128;203;63.1;165;348;513;74;59;33;77;126;1583.6;23;0;72
Brook Lopez;C;MIL;31;52;44;8;1391;552;204;476;42.9;72;242;29.8;72;87;82.8;32;201;233;85;51;37;135;121;1424.1;3;0;416
Cody Zeller;C;CHA;27;50;15;35;1154;548;216;423;51.1;17;70;24.3;99;144;68.8;140;215;355;73;64;33;23;126;1187.5;9;0;-204
Clint Capela;C;ATL;25;39;22;17;1279;543;244;388;62.9;0;0;0;55;104;52.9;168;369;537;48;63;33;72;102;1511.4;27;0;60
Myles Turner;C;IND;23;45;25;20;1307;535;188;417;45.1;65;189;34.4;94;123;76.4;52;224;276;56;60;32;87;112;1247.2;5;0;-6
Steven Adams;C;OKC;26;49;30;19;1322;524;218;374;58.3;1;3;33.3;87;148;58.8;163;292;455;126;75;35;56;100;1457;18;0;129
Bobby Portis;C;NYK;25;55;17;38;1142;519;204;473;43.1;55;158;34.8;56;75;74.7;75;215;290;86;59;28;10;96;1051;5;0;-175
Richaun Holmes;C;SAC;26;37;14;23;1087;484;204;309;66;0;0;0;76;93;81.7;113;201;314;37;46;39;52;144;1143.3;13;0;7
Mitchell Robinson;C;NYK;21;51;16;35;1154;468;200;274;73;0;0;0;68;117;58.1;146;195;341;28;33;45;94;169;1303.2;4;0;-136
Ivica Zubac;C;LAC;22;55;37;18;980;442;177;294;60.2;0;2;0;88;120;73.3;140;246;386;58;47;11;55;130;1143.2;6;0;109
Wendell Carter Jr.;C;CHI;20;37;13;24;1109;433;166;309;53.7;6;28;21.4;95;129;73.6;130;236;366;44;62;30;33;142;1065.2;17;0;25
Deandre Ayton;C;PHX;21;23;10;13;760;431;193;358;53.9;0;2;0;45;56;80.4;91;185;276;50;44;17;37;72;955.2;15;0;63
Larry Nance Jr.;C;CLE;27;45;11;34;1128;427;172;326;52.8;45;129;34.9;38;56;67.9;81;247;328;88;46;38;21;70;1083.6;9;0;-165
Dwight Howard;C;LAL;34;53;41;12;1049;414;169;229;73.8;3;5;60;73;156;46.8;141;273;414;35;65;22;69;171;1171.3;8;0;177
Jaxson Hayes;C;NOP;19;52;23;29;928;412;152;229;66.4;1;4;25;107;171;62.6;82;140;222;50;40;22;51;138;932.4;3;0;-24
Daniel Theis;C;BOS;27;48;32;16;1100;400;162;296;54.7;20;65;30.8;56;78;71.8;102;197;299;77;39;32;65;164;1126.3;4;0;161
Enes Kanter;C;BOS;27;42;27;15;783;385;164;280;58.6;1;7;14.3;56;80;70;122;223;345;43;45;17;35;78;974.5;8;0;176
Aron Baynes;C;PHX;33;33;15;18;756;378;146;298;49;42;126;33.3;44;61;72.1;54;136;190;62;39;7;19;116;738;2;0;-41
Thomas Bryant;C;WAS;22;29;10;19;738;373;151;257;58.8;15;44;34.1;56;75;74.7;59;156;215;64;41;10;26;66;794;7;0;-157
Willie Cauley-Stein;C;DAL;26;50;13;37;1051;373;167;291;57.4;0;1;0;39;63;61.9;80;216;296;67;39;49;58;118;1110.7;3;0;-121
DeAndre Jordan;C;BKN;31;45;22;23;958;364;150;224;67;0;0;0;64;92;69.6;107;339;446;88;63;16;46;87;1154.2;9;0;-71
JaVale McGee;C;LAL;32;51;40;11;858;364;159;247;64.4;3;6;50;43;67;64.2;97;198;295;33;39;26;81;120;1049.5;2;0;169
Kelly Olynyk;C;MIA;28;48;32;16;934;362;121;267;45.3;60;155;38.7;60;69;87;33;187;220;70;51;31;15;117;818;3;0;31
Nerlens Noel;C;OKC;25;46;28;18;859;361;146;217;67.3;1;3;33.3;68;86;79.1;75;162;237;50;46;48;67;115;1019.4;3;0;7
Frank Kaminsky;C;PHX;26;32;12;20;718;352;127;279;45.5;39;112;34.8;59;88;67;30;128;158;71;33;13;10;69;684.1;1;0;-32
Alex Len;C;SAC;26;40;9;31;745;349;142;260;54.6;14;56;25;51;81;63;69;161;230;42;39;20;33;93;808;7;0;-132
Gorgui Dieng;C;MEM;30;47;14;33;791;348;127;283;44.9;47;123;38.2;47;59;79.7;74;185;259;60;45;39;43;91;949.8;6;0;-90
Derrick Favors;C;NOP;28;36;17;19;859;341;154;247;62.3;1;5;20;32;53;60.4;115;242;357;66;48;20;36;82;988.4;14;0;63
Bismack Biyombo;C;CHA;27;45;14;31;866;338;130;240;54.2;0;0;0;78;127;61.4;107;156;263;39;40;9;37;97;810.1;7;0;-134
Mason Plumlee;C;DEN;29;43;30;13;750;317;127;210;60.5;0;4;0;63;114;55.3;79;160;239;105;63;23;27;95;848.3;2;0;6
Taj Gibson;C;NYK;34;52;17;35;857;301;135;236;57.2;3;11;27.3;28;40;70;93;131;224;47;40;23;23;107;738.3;0;0;-215
Damian Jones;C;ATL;24;51;14;37;850;300;118;172;68.6;2;8;25;62;84;73.8;71;123;194;32;28;26;38;139;744.8;0;0;-246
Meyers Leonard;C;MIA;27;49;34;15;987;300;116;223;52;51;119;42.9;17;26;65.4;27;221;248;53;35;13;15;103;726.1;2;0;95
Moritz Wagner;C;WAS;22;26;10;16;527;295;114;193;59.1;23;63;36.5;44;56;78.6;36;113;149;33;49;18;15;95;573.3;2;0;-29
Jakob Poeltl;C;SAS;24;54;23;31;922;292;129;206;62.6;0;0;0;34;68;50;98;197;295;97;44;26;80;93;1065.5;2;0;57
Mo Bamba;C;ORL;21;50;22;28;747;273;111;237;46.8;29;86;33.7;22;32;68.8;75;174;249;33;39;20;72;93;858.3;1;0;22
Marc Gasol;C;TOR;35;35;27;8;974;272;98;231;42.4;50;124;40.3;26;36;72.2;29;197;226;122;43;28;33;101;866.2;3;0;243
Nicolo Melli;C;NOP;29;43;19;24;681;263;92;205;44.9;49;131;37.4;30;39;76.9;24;96;120;47;32;24;14;82;559.5;0;0;-61
Ian Mahinmi;C;WAS;33;33;14;19;725;261;96;191;50.3;5;24;20.8;64;101;63.4;71;129;200;44;43;24;43;99;725;1;0;-51
Robin Lopez;C;MIL;31;50;42;8;684;259;108;216;50;20;71;28.2;23;43;53.5;45;83;128;33;41;7;34;57;544.1;0;0;58
Thon Maker;C;DET;22;52;19;33;662;243;79;154;51.3;17;51;33.3;68;102;66.7;48;90;138;33;41;20;32;86;573.1;2;0;-86
Jahlil Okafor;C;NOP;24;27;9;18;420;214;88;144;61.1;1;2;50;37;58;63.8;46;71;117;36;36;7;19;62;450.4;2;0;-102
Luke Kornet;C;CHI;24;35;11;24;544;210;80;183;43.7;30;105;28.6;20;28;71.4;22;62;84;31;13;10;26;51;452.3;0;0;-30
Dewayne Dedmon;C;ATL;30;37;14;23;619;206;81;197;41.1;18;82;22;26;31;83.9;47;141;188;17;52;18;36;105;567.1;3;0;-10
Cheick Diallo;C;PHX;23;38;14;24;420;193;81;121;66.9;1;2;50;30;35;85.7;24;89;113;20;26;10;11;51;395.6;1;0;-62
Bruno Fernando;C;ATL;21;45;13;32;550;182;77;152;50.7;4;31;12.9;24;39;61.5;55;96;151;38;40;15;16;87;473.2;1;0;-35
