PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Meyers Leonard;C;MIA;27;48;33;15;971;297;115;220;52.3;50;117;42.7;17;24;70.8;27;216;243;53;35;13;15;101;717.1;2;0;91
Damian Jones;C;ATL;24;45;12;33;747;272;106;155;68.4;2;7;28.6;58;80;72.5;63;107;170;27;23;19;35;125;655.5;0;0;-204
Marc Gasol;C;TOR;35;35;27;8;974;272;98;231;42.4;50;124;40.3;26;36;72.2;29;197;226;122;43;28;33;101;866.2;3;0;243
Jakob Poeltl;C;SAS;24;48;22;26;845;264;116;187;62;0;0;0;32;62;51.6;89;185;274;88;39;24;75;85;982.8;2;0;98
Taj Gibson;C;NYK;34;47;14;33;774;257;114;206;55.3;3;11;27.3;26;36;72.2;84;121;205;45;36;23;20;99;663.5;0;0;-189
Robin Lopez;C;MIL;31;45;38;7;637;248;104;202;51.5;18;65;27.7;22;41;53.7;43;79;122;31;40;7;31;55;514.9;0;0;90
Mo Bamba;C;ORL;21;45;20;25;687;244;99;216;45.8;26;80;32.5;20;30;66.7;67;162;229;29;35;17;64;83;770.3;1;0;17
Moritz Wagner;C;WAS;22;21;7;14;429;244;93;160;58.1;22;56;39.3;36;43;83.7;34;93;127;28;43;15;13;81;479.4;2;0;-32
Ian Mahinmi;C;WAS;33;28;11;17;628;227;83;165;50.3;5;22;22.7;56;88;63.6;62;109;171;41;40;22;40;86;639.7;1;0;-63
Nicolo Melli;C;NOP;29;38;16;22;566;217;75;166;45.2;37;104;35.6;30;37;81.1;19;77;96;38;29;21;8;67;447.2;0;0;-66
Jahlil Okafor;C;NOP;24;25;7;18;403;208;85;138;61.6;1;2;50;37;57;64.9;44;69;113;35;35;5;19;61;433.1;2;0;-85
Thon Maker;C;DET;22;46;18;28;524;187;58;114;50.9;12;38;31.6;59;88;67;34;72;106;25;31;17;26;70;449.7;1;0;-67
Bruno Fernando;C;ATL;21;42;11;31;523;174;73;145;50.3;4;30;13.3;24;39;61.5;51;92;143;38;38;14;15;83;451.6;1;0;-38
Luke Kornet;C;CHI;24;32;11;21;473;174;65;160;40.6;25;94;26.6;19;26;73.1;20;54;74;29;12;10;25;43;399.3;0;0;-27
Dewayne Dedmon;C;SAC;30;33;12;21;506;171;67;163;41.1;14;68;20.6;23;28;82.1;42;113;155;12;43;13;21;89;434;3;0;-45
Mike Muscala;C;OKC;28;35;20;15;447;163;54;140;38.6;37;107;34.6;18;22;81.8;11;74;85;31;13;7;8;44;343.5;0;0;10
Tony Bradley;C;UTA;22;36;24;12;372;159;70;109;64.2;0;0;0;19;31;61.3;58;93;151;9;18;10;15;75;410.7;0;0;-31
Boban Marjanovic;C;DAL;31;24;13;11;235;148;61;109;56;2;8;25;24;34;70.6;32;73;105;9;18;4;5;36;296.5;3;0;74
Khem Birch;C;ORL;27;35;14;21;739;143;52;108;48.1;0;1;0;39;65;60;67;104;171;35;22;16;20;67;486.7;0;0;-86
Cheick Diallo;C;PHX;23;32;12;20;303;141;58;90;64.4;1;2;50;24;29;82.8;20;63;83;16;16;7;5;35;284.6;1;0;-23
Anzejs Pasecniks;C;WAS;24;19;6;13;370;139;54;102;52.9;0;2;0;31;50;62;37;57;94;17;22;8;10;58;309.3;0;0;4
Goga Bitadze;C;IND;20;39;24;15;354;124;50;105;47.6;4;24;16.7;20;29;69;21;65;86;19;21;2;27;48;321.7;1;0;-7
