PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;25;63;42;21;2037;1289;501;946;53;70;219;32;217;266;81.6;153;488;641;431;195;76;43;194;2866.7;38;12;235
Montrezl Harrell;C;LAC;26;62;43;19;1730;1159;465;800;58.1;0;17;0;229;349;65.6;162;279;441;105;108;39;72;146;2070.7;12;0;237
Domantas Sabonis;C;IND;23;61;37;24;2117;1119;445;825;53.9;17;65;26.2;212;294;72.1;185;577;762;302;167;46;30;193;2547.4;50;4;158
Nikola Vucevic;C;ORL;29;53;24;29;1727;1033;419;895;46.8;81;245;33.1;114;146;78.1;129;455;584;195;76;46;47;117;2229.3;35;0;11
Bam Adebayo;C;MIA;22;64;41;23;2200;1032;398;704;56.5;1;13;7.7;235;340;69.1;162;514;676;323;182;78;85;161;2634.7;38;3;217
Joel Embiid;C;PHI;25;43;27;16;1302;1001;323;684;47.2;54;158;34.2;301;370;81.4;117;389;506;134;131;37;58;148;1963.2;33;0;120
Andre Drummond;C;CLE;26;56;21;35;1844;989;410;770;53.2;5;35;14.3;164;285;57.5;248;609;857;150;197;107;92;196;2642.4;47;0;-187
Hassan Whiteside;C;POR;30;60;28;32;1874;977;410;664;61.7;4;7;57.1;153;224;68.3;239;616;855;73;116;23;185;178;2620.5;50;0;77
LaMarcus Aldridge;C;SAS;34;52;22;30;1717;977;381;770;49.5;60;153;39.2;155;187;82.9;103;287;390;127;73;33;83;127;1910.5;14;0;-135
Rudy Gobert;C;UTA;27;61;40;21;2111;928;352;502;70.1;0;0;0;224;361;62;210;636;846;93;120;45;123;191;2466.7;45;0;292
Karl-Anthony Towns;C;MIN;24;35;10;25;1187;926;316;622;50.8;114;277;41.2;180;226;79.6;95;283;378;153;110;33;42;117;1724.1;24;0;-15
Jaren Jackson Jr.;C;MEM;20;54;28;26;1512;914;328;701;46.8;135;340;39.7;123;166;74.1;53;201;254;76;94;36;87;219;1607.8;3;0;-113
Jonas Valanciunas;C;MEM;27;61;30;31;1594;895;376;647;58.1;29;79;36.7;114;155;73.5;186;494;680;109;102;24;68;157;2048.5;32;0;-5
Serge Ibaka;C;TOR;30;49;35;14;1341;774;314;606;51.8;61;159;38.4;85;115;73.9;100;301;401;70;96;24;42;137;1462.2;18;0;95
Tristan Thompson;C;CLE;28;57;19;38;1722;684;288;562;51.2;9;23;39.1;99;161;61.5;226;351;577;120;103;33;50;124;1702.4;25;0;-378
Jarrett Allen;C;BKN;21;63;29;34;1627;678;266;411;64.7;0;5;0;146;233;62.7;191;407;598;85;72;35;84;142;1808.1;26;0;29
Brook Lopez;C;MIL;31;61;50;11;1622;670;244;571;42.7;84;284;29.6;98;121;81;42;230;272;95;63;43;149;147;1651.9;3;0;478
Bobby Portis;C;NYK;25;64;20;44;1350;641;253;567;44.6;65;183;35.5;70;91;76.9;79;251;330;91;71;32;16;108;1246.5;5;0;-196
Myles Turner;C;IND;23;54;32;22;1592;635;226;506;44.7;76;226;33.6;107;142;75.4;69;283;352;60;65;41;116;135;1553.4;8;0;16
Steven Adams;C;OKC;26;58;37;21;1564;633;262;443;59.1;1;3;33.3;108;183;59;196;347;543;141;86;50;65;111;1755.1;21;0;144
Cody Zeller;C;CHA;27;56;17;39;1295;618;243;466;52.1;17;74;23;115;171;67.3;151;242;393;83;73;40;24;138;1333.1;9;0;-213
Deandre Ayton;C;PHX;21;30;12;18;996;570;255;465;54.8;0;3;0;60;78;76.9;123;237;360;57;71;22;51;97;1235.5;20;0;37
Mitchell Robinson;C;NYK;21;59;19;40;1361;564;242;329;73.6;0;0;0;80;139;57.6;180;239;419;36;37;51;117;188;1587.8;8;0;-115
Larry Nance Jr.;C;CLE;27;55;16;39;1440;548;223;425;52.5;54;157;34.4;48;70;68.6;105;300;405;117;59;54;21;90;1375.5;12;0;-156
Clint Capela;C;ATL;25;39;22;17;1279;543;244;388;62.9;0;0;0;55;104;52.9;168;369;537;48;63;33;72;102;1511.4;27;0;60
Daniel Theis;C;BOS;27;57;36;21;1349;519;208;370;56.2;24;79;30.4;79;104;76;128;246;374;92;48;35;73;196;1381.8;5;0;196
Ivica Zubac;C;LAC;22;63;43;20;1137;507;201;334;60.2;0;2;0;105;139;75.5;161;288;449;69;51;13;59;146;1314.3;7;0;163
Richaun Holmes;C;SAC;26;39;15;24;1125;500;210;321;65.4;0;0;0;80;100;80;118;207;325;39;49;39;55;152;1181.5;13;0;25
Aron Baynes;C;PHX;33;41;19;22;901;474;180;367;49;58;161;36;56;75;74.7;70;165;235;66;48;9;23;139;903;3;0;-31
Dwight Howard;C;LAL;34;62;49;13;1193;468;188;257;73.2;3;5;60;89;180;49.4;156;301;457;42;73;27;76;200;1315.4;8;0;170
Wendell Carter Jr.;C;CHI;20;42;14;28;1229;467;176;334;52.7;6;29;20.7;109;148;73.6;138;261;399;50;70;31;36;157;1151.8;17;0;-23
DeAndre Jordan;C;BKN;31;55;26;29;1207;457;187;280;66.8;0;0;0;83;120;69.2;137;412;549;104;74;18;52;112;1407.8;13;0;-38
Kelly Olynyk;C;MIA;28;58;38;20;1084;450;150;313;47.9;80;183;43.7;70;82;85.4;37;222;259;97;62;38;18;144;1012.3;3;0;75
Thomas Bryant;C;WAS;22;37;13;24;876;445;179;298;60.1;21;52;40.4;66;90;73.3;71;179;250;69;48;13;33;83;938.5;7;0;-146
Nerlens Noel;C;OKC;25;55;35;20;1014;424;174;254;68.5;1;3;33.3;75;98;76.5;82;189;271;53;54;56;82;143;1188.7;3;0;32
Gorgui Dieng;C;MEM;30;57;18;39;997;423;156;340;45.9;50;141;35.5;61;83;73.5;87;243;330;68;55;47;54;111;1169;9;0;-89
Jaxson Hayes;C;NOP;19;56;26;30;951;420;155;235;66;1;4;25;109;173;63;82;141;223;51;41;23;53;142;951.1;3;0;-53
Derrick Favors;C;NOP;28;45;22;23;1089;415;189;305;62;1;7;14.3;36;62;58.1;147;298;445;75;51;25;44;99;1217.5;16;0;139
Enes Kanter;C;BOS;27;50;31;19;876;414;175;308;56.8;1;7;14.3;63;88;71.6;138;249;387;48;51;20;37;85;1070.4;9;0;165
