PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Montrezl Harrell;C;LAC;25;39;27;12;1138;754;306;532;57.5;0;14;0;142;217;65.4;110;179;289;72;77;26;44;90;1341.8;7;0;193
Nikola Jokic;C;DEN;24;39;27;12;1216;753;291;571;51;54;159;34;117;147;79.6;91;294;385;248;97;37;20;118;1661;21;7;195
Joel Embiid;C;PHI;25;31;21;10;963;725;238;504;47.2;38;118;32.2;211;252;83.7;79;303;382;102;93;25;42;109;1444.4;24;0;133
Jaren Jackson Jr.;C;MEM;20;39;18;21;1098;704;255;525;48.6;105;251;41.8;89;118;75.4;45;147;192;59;66;25;56;159;1199.9;2;0;-103
LaMarcus Aldridge;C;SAS;34;36;16;20;1189;682;269;530;50.8;42;94;44.7;102;122;83.6;72;203;275;90;49;20;65;83;1353;10;0;-99
Andre Drummond;C;DET;26;38;13;25;1284;668;273;515;53;1;20;5;121;195;62.1;169;434;603;100;132;73;68;138;1832.6;32;0;-94
Domantas Sabonis;C;IND;23;36;22;14;1237;649;260;492;52.8;10;39;25.6;119;164;72.6;120;350;470;153;94;31;21;120;1504.5;30;0;175
Bam Adebayo;C;MIA;22;39;27;12;1339;618;236;398;59.3;1;9;11.1;145;212;68.4;100;304;404;177;110;50;46;103;1546.3;22;2;142
Karl-Anthony Towns;C;MIN;24;23;9;14;779;609;207;403;51.4;82;196;41.8;113;142;79.6;63;206;269;101;72;24;29;80;1170.3;18;0;7
Hassan Whiteside;C;POR;30;36;16;20;1076;568;234;391;59.8;2;3;66.7;98;128;76.6;148;355;503;46;71;15;104;106;1526.6;29;0;23
Jonas Valanciunas;C;MEM;27;37;16;21;934;560;234;389;60.2;25;56;44.6;67;87;77;100;267;367;74;76;12;36;95;1179.4;19;0;-12
Rudy Gobert;C;UTA;27;37;26;11;1267;546;212;315;67.3;0;0;0;122;201;60.7;134;398;532;59;75;27;70;113;1488.9;28;0;241
Nikola Vucevic;C;ORL;29;28;13;15;877;519;205;454;45.2;45;126;35.7;64;83;77.1;77;239;316;95;34;26;26;58;1162.7;18;0;85
Richaun Holmes;C;SAC;26;37;14;23;1087;484;204;309;66;0;0;0;76;93;81.7;113;201;314;37;46;39;52;144;1143.3;13;0;7
Tristan Thompson;C;CLE;28;37;12;25;1181;481;202;394;51.3;3;8;37.5;74;119;62.2;153;238;391;82;71;27;38;88;1197.2;19;0;-221
Cody Zeller;C;CHA;27;39;13;26;900;455;175;326;53.7;17;61;27.9;88;125;70.4;113;168;281;50;55;23;15;99;926.2;7;0;-141
Clint Capela;C;HOU;25;31;20;11;1039;450;201;315;63.8;0;0;0;48;88;54.5;129;316;445;36;47;31;56;82;1252;24;0;82
Serge Ibaka;C;TOR;30;29;17;12;770;439;177;355;49.9;28;75;37.3;57;77;74;66;184;250;36;59;12;28;78;854;12;0;-27
Jarrett Allen;C;BKN;21;38;18;20;1008;437;169;258;65.5;0;3;0;99;156;63.5;124;252;376;47;45;28;50;94;1147.7;18;0;52
Wendell Carter Jr.;C;CHI;20;37;13;24;1109;433;166;309;53.7;6;28;21.4;95;129;73.6;130;236;366;44;62;30;33;142;1065.2;17;0;25
Steven Adams;C;OKC;26;36;21;15;1017;432;181;295;61.4;0;1;0;70;124;56.5;131;235;366;96;53;25;41;67;1160.2;15;0;89
Myles Turner;C;IND;23;31;18;13;918;400;142;311;45.7;49;140;35;67;90;74.4;41;146;187;40;39;17;63;79;885.4;4;0;21
Bobby Portis;C;NYK;24;40;11;29;846;395;154;353;43.6;44;117;37.6;43;57;75.4;61;164;225;60;39;21;9;76;806;5;0;-138
Brook Lopez;C;MIL;31;39;33;6;1024;393;141;346;40.8;54;184;29.3;57;66;86.4;26;163;189;57;37;29;96;88;1043.3;3;0;302
Aron Baynes;C;PHX;33;30;13;17;715;366;142;282;50.4;40;116;34.5;42;59;71.2;51;130;181;58;36;7;18;111;709.2;2;0;-10
Mitchell Robinson;C;NYK;21;36;10;26;809;358;151;211;71.6;0;0;0;56;90;62.2;104;137;241;18;26;29;63;124;924.2;3;0;-125
Frank Kaminsky;C;PHX;26;32;12;20;718;352;127;279;45.5;39;112;34.8;59;88;67;30;128;158;71;33;13;10;69;684.1;1;0;-32
Alex Len;C;ATL;26;38;8;30;711;342;139;251;55.4;14;54;25.9;50;79;63.3;64;155;219;42;37;18;30;89;774.8;7;0;-115
Ivica Zubac;C;LAC;22;40;27;13;691;328;130;217;59.9;0;2;0;68;92;73.9;98;174;272;35;36;7;37;95;802.9;5;0;58
Jaxson Hayes;C;NOP;19;37;14;23;751;322;124;190;65.3;1;4;25;73;117;62.4;69;104;173;34;31;21;45;106;747.6;3;0;2
Bismack Biyombo;C;CHA;27;40;13;27;788;313;121;221;54.8;0;0;0;71;116;61.2;96;144;240;36;33;9;31;89;742;6;0;-123
Dwight Howard;C;LAL;34;39;32;7;762;285;115;156;73.7;2;4;50;53;105;50.5;89;187;276;26;47;15;59;128;830.2;3;0;113
DeAndre Jordan;C;BKN;31;35;16;19;743;282;114;175;65.1;0;0;0;54;79;68.4;82;261;343;70;44;14;34;70;898.6;7;0;-102
Willie Cauley-Stein;C;GSW;26;36;8;28;818;281;126;227;55.5;0;0;0;29;49;59.2;58;168;226;51;34;40;45;92;849.7;2;0;-122
Enes Kanter;C;BOS;27;30;19;11;548;273;117;203;57.6;1;5;20;38;56;67.9;95;162;257;34;29;15;25;52;723.4;6;0;165
JaVale McGee;C;LAL;31;39;32;7;651;270;120;191;62.8;2;3;66.7;28;45;62.2;75;149;224;26;31;23;64;95;807.8;2;0;126
Kelly Olynyk;C;MIA;28;35;25;10;703;270;88;197;44.7;49;118;41.5;45;51;88.2;28;131;159;42;40;24;10;91;585.8;2;0;18
Mason Plumlee;C;DEN;29;39;27;12;678;268;108;184;58.7;0;4;0;52;92;56.5;68;145;213;95;57;22;25;89;750.1;1;0;-4
Gorgui Dieng;C;MIN;29;34;13;21;611;267;96;213;45.1;35;90;38.9;40;50;80;58;143;201;45;32;32;34;69;741.7;5;0;-52
Nerlens Noel;C;OKC;25;34;20;14;625;261;101;153;66;0;0;0;59;73;80.8;57;116;173;42;35;36;52;85;760.6;3;0;-28
Thomas Bryant;C;WAS;22;19;6;13;526;259;105;190;55.3;10;35;28.6;39;53;73.6;44;112;156;49;24;8;18;46;573.7;5;0;-120
Daniel Theis;C;BOS;27;34;23;11;736;252;103;202;51;12;43;27.9;34;47;72.3;64;139;203;47;27;21;48;112;746.1;1;0;72
Larry Nance Jr.;C;CLE;27;31;9;22;754;249;97;197;49.2;29;86;33.7;26;39;66.7;51;166;217;47;30;25;15;48;669.9;3;0;-111
Moritz Wagner;C;WAS;22;21;7;14;429;244;93;160;58.1;22;56;39.3;36;43;83.7;34;93;127;28;43;15;13;81;479.4;2;0;-32
Meyers Leonard;C;MIA;27;39;27;12;780;234;91;171;53.2;40;90;44.4;12;18;66.7;21;172;193;44;29;9;14;83;571.6;1;0;69
Robin Lopez;C;MIL;31;41;35;6;592;233;98;189;51.9;17;63;27;20;39;51.3;40;73;113;27;37;6;29;53;477.1;0;0;89
Damian Jones;C;ATL;24;35;7;28;576;217;87;126;69;2;6;33.3;41;57;71.9;50;78;128;22;18;13;29;104;511.6;0;0;-179
Derrick Favors;C;NOP;28;23;10;13;541;201;92;158;58.2;1;4;25;16;27;59.3;78;153;231;46;31;12;25;51;627.2;9;0;11
Jakob Poeltl;C;SAS;24;38;17;21;670;196;86;143;60.1;0;0;0;24;46;52.2;73;145;218;70;33;18;54;65;745.6;1;0;47
Mo Bamba;C;ORL;21;35;17;18;540;193;79;174;45.4;22;66;33.3;13;20;65;49;131;180;22;32;13;46;65;587;1;0;18
Taj Gibson;C;NYK;34;37;11;26;612;189;84;161;52.2;2;10;20;19;28;67.9;69;97;166;38;32;21;14;83;518.2;0;0;-186
Jahlil Okafor;C;NOP;24;23;6;17;365;179;72;115;62.6;1;2;50;34;54;63;37;60;97;30;34;5;16;59;369.4;1;0;-98
Marc Gasol;C;TOR;34;27;19;8;762;178;63;173;36.4;31;88;35.2;21;28;75;23;156;179;92;33;22;30;85;653.8;3;0;183
Ian Mahinmi;C;WAS;33;19;7;12;412;150;55;106;51.9;4;16;25;36;61;59;45;64;109;28;26;16;27;59;425.8;0;0;-56
Nicolo Melli;C;NOP;28;29;10;19;413;149;49;121;40.5;25;80;31.3;26;33;78.8;15;52;67;29;20;18;5;50;321.9;0;0;-82
Thon Maker;C;DET;22;38;14;24;432;147;48;94;51.1;10;30;33.3;41;65;63.1;26;54;80;16;26;13;22;55;346;0;0;-42
Deandre Ayton;C;PHX;21;9;5;4;272;139;65;125;52;0;1;0;9;13;69.2;33;68;101;17;13;5;14;29;329.7;5;0;22
Bruno Fernando;C;ATL;21;36;8;28;429;135;55;115;47.8;4;27;14.8;21;34;61.8;38;72;110;36;29;9;12;63;355;0;0;-58
Dewayne Dedmon;C;SAC;30;25;9;16;356;126;49;118;41.5;12;55;21.8;16;19;84.2;29;72;101;9;36;9;12;63;287.7;1;0;-28
Tony Bradley;C;UTA;22;28;19;9;275;124;54;85;63.5;0;0;0;16;26;61.5;44;63;107;9;16;4;13;54;300.9;0;0;-21
Boban Marjanovic;C;DAL;31;20;12;8;188;116;48;85;56.5;2;7;28.6;18;26;69.2;27;57;84;8;14;2;3;31;229.8;2;0;59
Cheick Diallo;C;PHX;23;23;9;14;215;111;46;69;66.7;1;1;100;18;21;85.7;15;47;62;12;12;3;4;23;212.4;1;0;-6
Noah Vonleh;C;MIN;24;26;10;16;325;109;43;78;55.1;1;13;7.7;22;26;84.6;33;76;109;24;19;10;6;34;304.8;0;0;-39
Anzejs Pasecniks;C;WAS;24;14;5;9;289;107;42;82;51.2;0;1;0;23;39;59;31;49;80;14;16;5;6;48;241;0;0;30
Khem Birch;C;ORL;27;25;11;14;545;104;38;77;49.4;0;1;0;28;50;56;48;84;132;27;17;14;18;56;381.9;0;0;-60
Isaiah Hartenstein;C;HOU;21;16;12;4;233;96;40;59;67.8;0;3;0;16;24;66.7;25;58;83;15;13;8;12;36;265.1;2;0;87
Goga Bitadze;C;IND;20;30;18;12;292;94;36;78;46.2;4;20;20;18;25;72;19;53;72;16;16;2;25;42;269.4;1;0;-2
Mike Muscala;C;OKC;28;25;13;12;271;83;27;87;31;16;64;25;13;15;86.7;10;51;61;18;8;5;4;27;202.2;0;0;-5
Robert Williams III;C;BOS;22;19;14;5;269;74;33;49;67.3;0;0;0;8;14;57.1;23;64;87;21;16;17;21;34;307.9;0;0;2
Ante Zizic;C;CLE;23;16;2;14;159;69;28;49;57.1;0;0;0;13;15;86.7;14;41;55;3;5;6;4;20;164.5;1;0;2
Luke Kornet;C;CHI;24;20;6;14;189;64;24;65;36.9;11;40;27.5;5;5;100;7;23;30;9;3;4;14;15;164.5;0;0;-2
Kyle O'Quinn;C;PHI;29;19;13;6;195;61;26;53;49.1;6;18;33.3;3;8;37.5;22;49;71;28;17;2;15;25;222.2;1;0;-34
Willy Hernangomez;C;CHA;25;13;1;12;82;47;18;36;50;3;9;33.3;8;15;53.3;11;21;32;5;7;1;3;5;97.9;0;0;-8
Tyson Chandler;C;HOU;37;23;15;8;207;34;14;18;77.8;0;0;0;6;13;46.2;24;39;63;6;7;6;8;29;153.6;0;0;40
Mfiondu Kabengele;C;LAC;22;10;8;2;44;29;10;22;45.5;6;12;50;3;3;100;1;7;8;1;1;1;1;6;45.1;0;0;-1
Ed Davis;C;UTA;30;21;14;7;232;27;11;30;36.7;0;0;0;5;11;45.5;23;61;84;8;13;9;9;49;180.8;0;0;-74
Kevon Looney;C;GSW;23;10;3;7;105;26;11;32;34.4;1;2;50;3;5;60;15;14;29;4;6;3;2;17;75.8;0;0;-60
Tacko Fall;C;BOS;24;4;3;1;21;17;8;11;72.7;0;0;0;1;3;33.3;0;10;10;0;3;0;2;4;32;0;0;4
Vincent Poirier;C;BOS;26;9;9;0;44;15;7;14;50;0;0;0;1;2;50;8;7;15;3;3;2;2;10;46.5;0;0;-1
Moses Brown;C;POR;20;6;3;3;21;10;4;9;44.4;0;0;0;2;4;50;2;8;10;0;2;1;0;4;23;0;0;-24
Justin Patton;C;OKC;22;4;2;2;14;5;2;5;40;1;2;50;0;0;0;1;3;4;1;1;0;0;4;10.3;0;0;-6
Dewan Hernandez;C;TOR;23;4;4;0;11;4;1;5;20;0;1;0;2;2;100;2;5;7;0;1;1;0;6;14.4;0;0;1
Naz Reid;F;MIN;20;9;4;5;118;72;27;71;38;11;39;28.2;7;12;58.3;8;20;28;9;7;4;5;22;139.1;0;0;0
Wilson Chandler;F;BKN;32;12;4;8;244;71;28;67;41.8;8;36;22.2;7;8;87.5;3;55;58;15;14;7;5;26;185.1;0;0;-78
Alen Smailagic;F;GSW;19;8;1;7;80;37;14;26;53.8;2;8;25;7;9;77.8;6;15;21;5;4;1;3;8;77.7;0;0;4
Johnathan Williams;F;WAS;24;6;2;4;123;33;15;22;68.2;0;1;0;3;5;60;13;25;38;6;2;1;5;7;103.6;0;0;-39
Rayjon Tucker;F;UTA;22;6;6;0;50;9;4;9;44.4;0;4;0;1;3;33.3;1;7;8;2;1;1;0;4;23.6;0;0;-13
Louis King;F;DET;20;4;1;3;12;7;3;7;42.9;1;3;33.3;0;0;0;1;1;2;1;1;1;0;2;12.9;0;0;-2
Kevin Hervey;F;OKC;23;2;1;1;8;0;0;4;0;0;3;0;0;0;0;0;2;2;1;0;0;0;1;3.9;0;0;-5
Gary Payton II;G;WAS;27;11;5;6;247;67;29;64;45.3;7;21;33.3;2;5;40;14;33;47;29;15;22;4;23;229.9;1;0;-71
Luguentz Dort;G;OKC;20;7;5;2;115;23;8;25;32;1;14;7.1;6;10;60;1;9;10;3;3;2;0;18;42.5;0;0;1
Amir Coffey;G;LAC;22;2;1;1;5;5;2;3;66.7;1;2;50;0;0;0;0;0;0;1;0;0;0;1;6.5;0;0;-6
Justin Anderson;G;BKN;26;3;2;1;17;3;1;6;16.7;0;3;0;1;2;50;0;2;2;0;0;0;1;2;8.4;0;0;-8
Adam Mokoka;G;CHI;21;2;1;1;6;0;0;5;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2.4;0;0;-3
Josh Reaves;G;DAL;22;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5
Giannis Antetokounmpo;PF;MIL;25;38;32;6;1173;1133;417;758;55;63;194;32.5;236;384;61.5;90;398;488;210;130;46;40;120;2161.6;34;3;376
Anthony Davis;PF;LAL;26;35;29;6;1231;948;330;655;50.4;38;128;29.7;250;291;85.9;78;251;329;113;84;54;90;89;1860.3;17;0;206
Brandon Ingram;PF;NOP;22;36;12;24;1235;904;317;666;47.6;90;221;40.7;180;208;86.5;33;210;243;152;109;35;29;104;1506.6;7;0;-98
Jayson Tatum;PF;BOS;21;37;26;11;1261;789;288;670;43;88;242;36.4;125;145;86.2;39;216;255;106;82;51;30;77;1415;5;0;280
Julius Randle;PF;NYK;25;38;11;27;1221;710;260;578;45;45;159;28.3;145;207;70;83;261;344;124;110;29;9;104;1312.8;15;0;-137
Pascal Siakam;PF;TOR;25;28;19;9;1019;692;259;571;45.4;69;177;39;105;130;80.8;38;184;222;101;73;26;26;81;1192.9;9;0;203
Marcus Morris Sr.;PF;NYK;30;33;10;23;1047;629;206;470;43.8;90;192;46.9;127;153;83;38;145;183;50;54;28;15;99;998.6;2;0;-124
Lauri Markkanen;PF;CHI;22;40;14;26;1211;610;205;485;42.3;91;258;35.3;109;132;82.6;50;213;263;66;66;32;20;82;1114.6;3;0;-49
Danilo Gallinari;PF;OKC;31;33;17;16;1001;604;188;437;43;96;242;39.7;132;147;89.8;20;166;186;75;43;22;4;44;974.7;2;0;60
Kevin Love;PF;CLE;31;33;10;23;1028;558;185;405;45.7;78;209;37.3;110;130;84.6;28;313;341;95;91;19;13;50;1114.7;15;0;-205
Kristaps Porzingis;PF;DAL;24;31;20;11;968;535;190;472;40.3;68;198;34.3;87;120;72.5;54;237;291;45;52;18;66;94;1151.7;12;0;145
Eric Paschall;PF;GSW;23;36;8;28;974;488;186;382;48.7;21;76;27.6;95;122;77.9;49;112;161;64;55;19;10;70;809.2;2;0;-207
Jabari Parker;PF;ATL;24;32;6;26;837;480;198;393;50.4;31;115;27;53;72;73.6;54;137;191;58;60;42;15;93;907.2;2;0;-133
Davis Bertans;PF;WAS;27;30;9;21;886;463;152;339;44.8;112;257;43.6;47;53;88.7;25;124;149;50;22;18;19;75;805.8;1;0;26
Robert Covington;PF;MIN;29;37;15;22;1060;463;161;365;44.1;78;225;34.7;63;79;79.7;27;186;213;44;54;63;36;109;1027.6;3;0;3
Duncan Robinson;PF;MIA;25;39;27;12;1066;459;154;332;46.4;124;286;43.4;27;29;93.1;7;117;124;41;26;22;10;108;739.3;1;0;85
Nemanja Bjelica;PF;SAC;31;39;15;24;1058;455;173;370;46.8;73;175;41.7;36;43;83.7;59;191;250;97;62;33;24;117;1009.5;5;0;-56
Al Horford;PF;PHI;33;36;21;15;1108;450;185;407;45.5;51;147;34.7;29;44;65.9;61;173;234;137;39;36;34;80;1107.3;3;0;93
P.J. Washington;PF;CHA;21;37;14;23;1122;450;169;355;47.6;50;124;40.3;62;93;66.7;30;169;199;72;58;34;33;101;939.8;3;0;-115
Aaron Gordon;PF;ORL;24;33;16;17;1026;431;163;398;41;35;129;27.1;70;100;70;56;192;248;91;54;23;19;66;937.1;10;0;-44
Rudy Gay;PF;SAS;33;38;17;21;860;416;151;331;45.6;43;128;33.6;71;83;85.5;39;183;222;69;57;18;23;56;851.9;4;0;61
Brandon Clarke;PF;MEM;23;34;17;17;720;415;174;279;62.4;16;39;41;51;64;79.7;47;151;198;49;32;15;30;53;829.1;1;0;-46
Carmelo Anthony;PF;POR;35;25;10;15;790;406;153;356;43;40;100;40;60;73;82.2;29;123;152;29;44;26;15;79;710.9;2;0;-12
Kyle Kuzma;PF;LAL;24;30;26;4;728;397;146;333;43.8;53;150;35.3;52;69;75.4;20;94;114;25;44;10;11;51;590.3;0;0;115
Jerami Grant;PF;DEN;25;39;27;12;923;389;135;294;45.9;46;122;37.7;73;105;69.5;22;100;122;35;30;17;27;75;689.9;0;0;-118
Dario Saric;PF;PHX;25;39;16;23;982;387;144;327;44;53;162;32.7;46;55;83.6;59;189;248;72;52;25;11;93;848.6;7;0;-39
Paul Millsap;PF;DEN;34;32;21;11;798;380;132;282;46.8;31;75;41.3;85;96;88.5;64;122;186;45;42;28;22;90;778.7;3;0;205
Doug McDermott;PF;IND;28;39;24;15;814;371;140;300;46.7;70;160;43.8;21;26;80.8;17;85;102;43;26;5;4;70;558.9;0;0;60
Dorian Finney-Smith;PF;DAL;26;39;24;15;1139;364;132;279;47.3;61;158;38.6;39;56;69.6;78;129;207;53;38;26;21;89;794.9;1;0;154
Christian Wood;PF;DET;24;36;14;22;606;341;122;211;57.8;20;56;35.7;77;110;70;49;139;188;26;37;11;28;41;685.6;5;0;34
Thaddeus Young;PF;CHI;31;39;14;25;866;340;136;341;39.9;41;127;32.3;27;44;61.4;59;119;178;71;55;44;10;73;767.1;0;0;-71
