PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Karl-Anthony Towns;C;MIN;24;23;9;14;779;609;207;403;51.4;82;196;41.8;113;142;79.6;63;206;269;101;72;24;29;80;1170.3;18;0;7
Montrezl Harrell;C;LAC;25;32;22;10;933;608;249;435;57.2;0;12;0;110;167;65.9;93;147;240;62;59;24;37;74;1113;6;0;188
Joel Embiid;C;PHI;25;25;18;7;773;577;187;403;46.4;28;90;31.1;175;213;82.2;66;254;320;81;77;22;34;84;1173.5;20;0;115
Jaren Jackson Jr.;C;MEM;20;29;11;18;796;505;181;388;46.6;72;181;39.8;71;91;78;29;105;134;43;54;19;38;120;847.3;1;0;-135
Domantas Sabonis;C;IND;23;28;19;9;957;503;200;390;51.3;8;30;26.7;95;125;76;93;281;374;111;75;22;17;103;1160.3;24;0;175
Andre Drummond;C;DET;26;28;10;18;950;495;207;383;54;0;15;0;81;131;61.8;128;331;459;80;104;56;50;104;1379.8;24;0;-32
Nikola Jokic;C;DEN;24;28;20;8;876;484;195;398;49;32;112;28.6;62;77;80.5;62;217;279;189;69;27;18;84;1168.3;15;5;166
LaMarcus Aldridge;C;SAS;34;26;10;16;861;483;196;390;50.3;14;44;31.8;77;93;82.8;54;136;190;63;39;17;48;58;961.5;6;0;-159
Bam Adebayo;C;MIA;22;29;21;8;985;453;168;292;57.5;1;9;11.1;116;171;67.8;71;235;306;133;86;42;36;79;1167.7;17;2;150
Hassan Whiteside;C;POR;30;27;14;13;788;424;176;288;61.1;1;2;50;71;92;77.2;100;262;362;35;54;12;73;81;1111.9;21;0;45
Rudy Gobert;C;UTA;27;27;17;10;929;401;152;226;67.3;0;0;0;97;157;61.8;97;283;380;42;60;20;49;82;1067;21;0;118
Jonas Valanciunas;C;MEM;27;27;9;18;675;378;160;278;57.6;16;38;42.1;42;58;72.4;73;193;266;50;58;8;26;73;816.2;15;0;-60
Tristan Thompson;C;CLE;28;28;8;20;874;370;161;311;51.8;3;7;42.9;45;82;54.9;116;165;281;66;50;22;29;66;909.2;15;0;-168
Wendell Carter Jr.;C;CHI;20;31;12;19;937;369;142;256;55.5;3;18;16.7;82;114;71.9;106;198;304;33;48;25;29;124;897.3;14;0;28
Richaun Holmes;C;SAC;26;29;12;17;825;360;152;229;66.4;0;0;0;56;69;81.2;86;155;241;28;32;31;39;118;869.2;9;0;34
Jarrett Allen;C;BKN;21;29;16;13;770;357;141;213;66.2;0;2;0;75;122;61.5;105;201;306;39;34;21;40;73;931.7;15;0;80
Cody Zeller;C;CHA;27;30;11;19;715;353;137;252;54.4;15;50;30;64;95;67.4;90;143;233;38;45;18;14;75;740.6;7;0;-132
Clint Capela;C;HOU;25;25;16;9;837;349;160;243;65.8;0;0;0;29;65;44.6;101;263;364;30;42;23;48;68;1001.8;19;0;95
Frank Kaminsky;C;PHX;26;29;11;18;675;329;119;266;44.7;36;106;34;55;82;67.1;30;124;154;70;29;13;10;64;658.8;1;0;-23
Nikola Vucevic;C;ORL;29;18;7;11;560;314;123;277;44.4;21;70;30;47;56;83.9;49;152;201;61;22;16;18;35;726.7;12;0;22
Steven Adams;C;OKC;26;26;14;12;716;298;131;210;62.4;0;1;0;36;74;48.6;89;168;257;72;42;13;32;50;807.4;10;0;36
Bobby Portis;C;NYK;24;30;7;23;649;291;114;263;43.3;33;88;37.5;30;40;75;44;133;177;36;29;20;9;51;615.4;4;0;-115
Brook Lopez;C;MIL;31;29;25;4;762;291;98;250;39.2;43;141;30.5;52;57;91.2;19;130;149;43;27;20;70;68;777.3;3;0;242
Mitchell Robinson;C;NYK;21;26;6;20;589;266;108;156;69.2;0;0;0;50;77;64.9;81;94;175;14;19;21;46;93;679;2;0;-125
Ivica Zubac;C;LAC;22;32;22;10;543;264;103;173;59.5;0;2;0;58;77;75.3;71;133;204;29;31;7;30;76;632.3;4;0;64
Aron Baynes;C;PHX;33;20;8;12;461;263;100;192;52.1;32;84;38.1;31;43;72.1;30;76;106;46;24;5;15;77;495.2;1;0;-16
Myles Turner;C;IND;23;22;14;8;645;254;92;210;43.8;32;95;33.7;38;52;73.1;29;95;124;26;32;15;50;52;604.8;3;0;19
Kelly Olynyk;C;MIA;28;29;21;8;654;253;82;181;45.3;44;107;41.1;45;51;88.2;25;122;147;40;38;23;10;80;550.4;2;0;33
Serge Ibaka;C;TOR;30;19;13;6;441;251;95;206;46.1;15;46;32.6;46;57;80.7;39;102;141;24;35;9;20;48;508.2;4;0;-42
Thomas Bryant;C;WAS;22;18;6;12;511;251;101;184;54.9;10;35;28.6;39;53;73.6;42;111;153;48;24;8;18;44;560.6;5;0;-117
Alex Len;C;ATL;26;29;6;23;525;249;101;183;55.2;12;39;30.8;35;51;68.6;48;106;154;32;29;15;22;67;563.8;4;0;-130
Bismack Biyombo;C;CHA;27;31;11;20;573;247;97;170;57.1;0;0;0;53;91;58.2;70;102;172;29;21;6;23;67;562.9;4;0;-78
Moritz Wagner;C;WAS;22;21;7;14;429;244;93;160;58.1;22;56;39.3;36;43;83.7;34;93;127;28;43;15;13;81;479.4;2;0;-32
Jaxson Hayes;C;NOP;19;27;7;20;577;240;90;143;62.9;1;4;25;59;92;64.1;51;79;130;24;23;19;29;84;553;1;0;7
Larry Nance Jr.;C;CLE;26;27;8;19;666;232;89;180;49.4;28;82;34.1;26;37;70.3;47;148;195;42;26;21;13;43;605;3;0;-107
Nerlens Noel;C;OKC;25;28;15;13;519;218;86;131;65.6;0;0;0;46;56;82.1;39;97;136;36;29;27;40;76;607.2;2;0;-25
Willie Cauley-Stein;C;GSW;26;27;5;22;618;218;97;174;55.7;0;0;0;24;38;63.2;42;131;173;41;27;32;36;78;664.1;1;0;-145
JaVale McGee;C;LAL;31;30;24;6;499;214;96;152;63.2;1;1;100;21;34;61.8;60;122;182;19;26;16;41;71;605.9;2;0;76
DeAndre Jordan;C;BKN;31;26;14;12;553;213;87;133;65.4;0;0;0;39;59;66.1;66;193;259;58;31;12;25;53;690.8;6;0;-78
Dwight Howard;C;LAL;34;30;24;6;597;206;85;113;75.2;1;3;33.3;35;75;46.7;67;140;207;21;38;12;39;105;600.9;2;0;81
Damian Jones;C;ATL;24;27;5;22;494;201;81;114;71.1;2;5;40;37;53;69.8;42;64;106;19;17;11;24;91;444.7;0;0;-139
Mason Plumlee;C;DEN;29;28;20;8;482;191;78;133;58.6;0;4;0;35;65;53.8;51;108;159;69;42;18;21;65;560.3;1;0;15
Marc Gasol;C;TOR;34;27;19;8;762;178;63;173;36.4;31;88;35.2;21;28;75;23;156;179;92;33;22;30;85;653.8;3;0;183
Meyers Leonard;C;MIA;27;29;21;8;533;167;67;119;56.3;27;57;47.4;6;11;54.5;13;115;128;31;20;7;13;62;407.1;0;0;61
Daniel Theis;C;BOS;27;24;17;7;518;165;67;129;51.9;7;25;28;24;35;68.6;39;111;150;32;20;11;38;78;520;1;0;83
Jakob Poeltl;C;SAS;24;28;11;17;515;160;69;116;59.5;0;0;0;22;38;57.9;61;104;165;50;25;16;41;49;579;1;0;74
Mo Bamba;C;ORL;21;27;12;15;419;160;65;146;44.5;20;54;37;10;15;66.7;41;101;142;16;28;9;33;55;452.4;1;0;13
Robin Lopez;C;MIL;31;31;27;4;436;160;65;132;49.2;15;49;30.6;15;24;62.5;31;53;84;21;33;6;20;47;337.3;0;0;59
Enes Kanter;C;BOS;27;20;13;7;344;156;64;117;54.7;0;2;0;28;43;65.1;58;88;146;20;16;12;12;31;417.2;1;0;118
Jahlil Okafor;C;NOP;24;18;2;16;322;155;63;103;61.2;1;2;50;28;43;65.1;30;54;84;29;27;5;15;51;332.3;1;0;-76
Gorgui Dieng;C;MIN;29;24;8;16;345;139;50;116;43.1;17;46;37;22;30;73.3;25;84;109;24;17;16;23;41;405.8;1;0;-83
Taj Gibson;C;NYK;34;28;7;21;456;127;58;120;48.3;2;10;20;9;17;52.9;51;73;124;33;21;18;10;60;388.3;0;0;-146
Nicolo Melli;C;NOP;28;24;6;18;360;125;41;104;39.4;22;72;30.6;21;26;80.8;14;46;60;26;18;14;4;44;272;0;0;-78
Dewayne Dedmon;C;SAC;30;22;8;14;310;110;44;105;41.9;11;48;22.9;11;13;84.6;26;61;87;8;31;9;11;55;255.4;0;0;-34
Bruno Fernando;C;ATL;21;29;6;23;341;109;43;86;50;4;19;21.1;19;29;65.5;32;58;90;29;26;7;10;47;285.5;0;0;-47
Cheick Diallo;C;PHX;23;20;7;13;190;109;45;65;69.2;1;1;100;18;21;85.7;14;41;55;10;12;2;4;21;196;1;0;-1
Derrick Favors;C;NOP;28;14;3;11;292;108;51;88;58;1;2;50;5;11;45.5;46;77;123;26;20;6;11;29;325.6;4;0;-49
Thon Maker;C;DET;22;28;11;17;316;101;32;60;53.3;8;17;47.1;29;47;61.7;18;38;56;12;17;9;17;42;247.2;0;0;-41
Noah Vonleh;C;MIN;24;19;7;12;226;77;28;56;50;1;13;7.7;20;24;83.3;24;43;67;18;16;6;4;26;198.4;0;0;-14
Tony Bradley;C;UTA;21;19;10;9;166;77;33;54;61.1;0;0;0;11;16;68.8;25;39;64;5;10;2;8;32;181.3;0;0;-18
Boban Marjanovic;C;DAL;31;13;9;4;137;76;31;56;55.4;0;1;0;14;20;70;15;43;58;7;11;2;3;20;160.1;1;0;69
Goga Bitadze;C;IND;20;23;15;8;243;76;29;63;46;4;15;26.7;14;19;73.7;17;41;58;15;13;1;22;40;224.1;1;0;-6
Robert Williams III;C;BOS;22;19;14;5;269;74;33;49;67.3;0;0;0;8;14;57.1;23;64;87;21;16;17;21;34;307.9;0;0;2
Khem Birch;C;ORL;27;17;6;11;377;69;28;58;48.3;0;1;0;13;26;50;33;57;90;18;11;10;13;41;262;0;0;-79
Ian Mahinmi;C;WAS;33;8;2;6;152;61;23;43;53.5;1;5;20;14;20;70;17;28;45;8;13;4;11;27;159;0;0;29
Mike Muscala;C;OKC;28;19;10;9;188;59;19;63;30.2;12;46;26.1;9;10;90;6;31;37;14;6;4;3;21;139.4;0;0;19
Kyle O'Quinn;C;PHI;29;18;13;5;170;57;24;48;50;6;16;37.5;3;8;37.5;19;42;61;23;16;2;13;24;193.7;1;0;-52
Luke Kornet;C;CHI;24;14;4;10;142;40;15;48;31.3;5;27;18.5;5;5;100;6;16;22;6;3;2;10;13;108.4;0;0;-30
Ante Zizic;C;CLE;22;9;0;9;91;37;16;29;55.2;0;0;0;5;6;83.3;7;16;23;0;1;2;2;10;75.6;0;0;-14
Deandre Ayton;C;PHX;21;2;1;1;58;36;18;33;54.5;0;0;0;0;1;0;10;13;23;3;2;1;5;4;84.1;2;0;16
Isaiah Hartenstein;C;HOU;21;9;7;2;103;31;11;16;68.8;0;1;0;9;11;81.8;8;18;26;5;6;3;4;17;84.7;0;0;33
Tyson Chandler;C;HOU;37;20;13;7;173;31;13;17;76.5;0;0;0;5;9;55.6;21;34;55;6;6;5;7;25;136;0;0;42
Mfiondu Kabengele;C;LAC;22;10;8;2;44;29;10;22;45.5;6;12;50;3;3;100;1;7;8;1;1;1;1;6;45.1;0;0;-1
Ed Davis;C;UTA;30;17;11;6;199;26;11;27;40.7;0;0;0;4;9;44.4;17;56;73;8;11;8;8;38;162.6;0;0;-64
Willy Hernangomez;C;CHA;25;10;1;9;67;26;10;25;40;2;7;28.6;4;8;50;9;14;23;3;6;1;3;4;64.1;0;0;-29
Kevon Looney;C;GSW;23;9;2;7;96;22;9;30;30;1;2;50;3;5;60;14;14;28;3;6;3;2;15;69.1;0;0;-57
Vincent Poirier;C;BOS;26;9;9;0;44;15;7;14;50;0;0;0;1;2;50;8;7;15;3;3;2;2;10;46.5;0;0;-1
Tacko Fall;C;BOS;24;3;3;0;11;13;6;8;75;0;0;0;1;2;50;0;7;7;0;3;0;2;3;24.4;0;0;-2
