PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;24;43;30;13;1355;835;323;631;51.2;56;170;32.9;133;168;79.2;100;328;428;273;116;42;24;133;1840.1;24;7;208
Montrezl Harrell;C;LAC;25;42;30;12;1205;811;329;569;57.8;0;14;0;153;241;63.5;115;184;299;76;79;28;45;96;1423.8;7;0;205
LaMarcus Aldridge;C;SAS;34;40;18;22;1318;764;299;591;50.6;48;111;43.2;118;140;84.3;78;214;292;96;55;24;70;97;1485.4;10;0;-102
Jaren Jackson Jr.;C;MEM;20;42;20;22;1178;748;272;567;48;110;270;40.7;94;125;75.2;45;156;201;61;69;29;60;173;1278.7;2;0;-96
Domantas Sabonis;C;IND;23;41;26;15;1400;728;295;554;53.2;11;43;25.6;127;177;71.8;141;386;527;178;112;32;23;137;1680.4;33;1;167
Andre Drummond;C;DET;26;42;15;27;1406;726;298;561;53.1;1;20;5;129;215;60;185;474;659;115;152;88;74;153;2023.3;36;0;-60
Joel Embiid;C;PHI;25;31;21;10;963;725;238;504;47.2;38;118;32.2;211;252;83.7;79;303;382;102;93;25;42;109;1444.4;24;0;133
Bam Adebayo;C;MIA;22;43;30;13;1483;690;263;446;59;1;10;10;163;237;68.8;113;339;452;200;120;53;50;109;1721.4;25;2;166
Karl-Anthony Towns;C;MIN;24;26;9;17;870;676;229;454;50.4;88;217;40.6;130;161;80.7;72;216;288;113;79;25;31;89;1280.1;18;0;-3
Hassan Whiteside;C;POR;30;41;19;22;1249;637;262;444;59;2;4;50;111;150;74;166;414;580;51;82;15;124;121;1744.5;32;0;27
Rudy Gobert;C;UTA;27;41;29;12;1407;633;244;359;68;0;0;0;145;231;62.8;148;445;593;68;78;30;79;126;1695.6;32;0;311
Nikola Vucevic;C;ORL;29;33;16;17;1041;623;246;548;44.9;56;153;36.6;75;94;79.8;91;276;367;110;43;30;29;70;1362.4;21;0;68
Jonas Valanciunas;C;MEM;27;40;18;22;1015;601;252;422;59.7;25;60;41.7;72;97;74.2;111;291;402;81;81;14;41;102;1288.9;20;0;-12
