PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;25;57;39;18;1854;1191;463;878;52.7;69;210;32.9;196;241;81.3;136;441;577;391;170;67;40;177;2620.9;35;11;243
Montrezl Harrell;C;LAC;26;56;38;18;1581;1054;430;742;58;0;16;0;194;303;64;150;245;395;98;98;37;64;130;1880;10;0;218
Joel Embiid;C;PHI;25;42;27;15;1294;998;322;683;47.1;54;158;34.2;300;366;82;117;389;506;134;130;37;57;148;1958.2;33;0;129
Domantas Sabonis;C;IND;23;54;31;23;1867;987;393;733;53.6;13;58;22.4;188;258;72.9;164;509;673;259;147;40;28;180;2240.1;43;4;142
LaMarcus Aldridge;C;SAS;34;52;22;30;1717;977;381;770;49.5;60;153;39.2;155;187;82.9;103;287;390;127;73;33;83;127;1910.5;14;0;-135
Andre Drummond;C;CLE;26;54;20;34;1775;934;387;734;52.7;5;30;16.7;155;271;57.2;244;584;828;145;195;103;88;188;2523.1;45;0;-187
Karl-Anthony Towns;C;MIN;24;35;10;25;1187;926;316;622;50.8;114;277;41.2;180;226;79.6;95;283;378;153;110;33;42;117;1724.1;24;0;-15
Bam Adebayo;C;MIA;22;57;36;21;1968;920;359;621;57.8;1;12;8.3;201;293;68.6;147;450;597;291;160;74;70;141;2344.9;33;3;205
Jaren Jackson Jr.;C;MEM;20;54;28;26;1512;914;328;701;46.8;135;340;39.7;123;166;74.1;53;201;254;76;94;36;87;219;1607.8;3;0;-113
Nikola Vucevic;C;ORL;29;46;20;26;1486;877;354;773;45.8;76;225;33.8;93;119;78.2;119;379;498;170;65;43;43;105;1922.6;29;0;-12
Rudy Gobert;C;UTA;27;55;35;20;1905;853;323;470;68.7;0;0;0;207;334;62;195;591;786;83;108;36;105;169;2235.7;43;0;300
Hassan Whiteside;C;POR;30;53;26;27;1640;838;349;572;61;2;4;50;138;198;69.7;213;534;747;65;102;21;164;158;2284.9;43;0;66
Jonas Valanciunas;C;MEM;27;54;26;28;1397;779;329;572;57.5;27;74;36.5;94;131;71.8;154;413;567;99;96;24;62;143;1769.9;26;0;-56
Serge Ibaka;C;TOR;30;46;33;13;1246;741;301;570;52.8;58;142;40.8;81;109;74.3;96;277;373;61;91;24;39;128;1378.1;16;0;99
Tristan Thompson;C;CLE;28;53;16;37;1612;646;270;523;51.6;9;18;50;97;153;63.4;215;328;543;111;98;32;46;115;1600.1;24;0;-364
Jarrett Allen;C;BKN;21;56;26;30;1473;614;241;374;64.4;0;5;0;132;210;62.9;171;366;537;80;62;34;81;130;1661.4;25;0;80
Brook Lopez;C;MIL;31;54;46;8;1441;579;212;495;42.8;74;252;29.4;81;97;83.5;34;208;242;91;53;37;135;124;1468.9;3;0;466
Cody Zeller;C;CHA;27;52;16;36;1200;578;228;440;51.8;17;71;23.9;105;152;69.1;144;228;372;75;65;35;24;130;1248.9;9;0;-205
Steven Adams;C;OKC;26;51;32;19;1382;564;233;400;58.3;1;3;33.3;97;160;60.6;173;313;486;128;76;40;58;100;1557.2;20;0;145
Bobby Portis;C;NYK;25;57;17;40;1194;550;214;494;43.3;58;166;34.9;64;83;77.1;76;228;304;89;64;28;11;100;1101.3;5;0;-181
Myles Turner;C;IND;23;47;26;21;1367;550;194;434;44.7;66;197;33.5;96;126;76.2;55;236;291;56;60;36;89;117;1298.2;5;0;-15
Clint Capela;C;ATL;25;39;22;17;1279;543;244;388;62.9;0;0;0;55;104;52.9;168;369;537;48;63;33;72;102;1511.4;27;0;60
Deandre Ayton;C;PHX;21;26;12;14;853;492;221;401;55.1;0;2;0;50;64;78.1;108;202;310;53;54;18;41;83;1066.5;17;0;76
Mitchell Robinson;C;NYK;21;53;16;37;1197;486;208;284;73.2;0;0;0;70;121;57.9;153;204;357;30;35;47;103;177;1374.4;4;0;-127
Richaun Holmes;C;SAC;26;37;14;23;1087;484;204;309;66;0;0;0;76;93;81.7;113;201;314;37;46;39;52;144;1143.3;13;0;7
Larry Nance Jr.;C;CLE;27;48;13;35;1214;466;190;358;53.1;46;136;33.8;40;59;67.8;89;260;349;93;52;42;21;79;1161.3;9;0;-145
Ivica Zubac;C;LAC;22;57;38;19;1021;456;183;310;59;0;2;0;90;122;73.8;151;260;411;62;48;11;56;134;1195.2;6;0;114
Daniel Theis;C;BOS;27;50;33;17;1159;441;177;317;55.8;23;69;33.3;64;87;73.6;110;214;324;77;42;32;66;174;1197.3;5;0;170
Wendell Carter Jr.;C;CHI;20;37;13;24;1109;433;166;309;53.7;6;28;21.4;95;129;73.6;130;236;366;44;62;30;33;142;1065.2;17;0;25
Dwight Howard;C;LAL;34;55;43;12;1080;428;174;237;73.4;3;5;60;77;163;47.2;146;280;426;35;67;22;71;179;1203.7;8;0;153
Jaxson Hayes;C;NOP;19;54;25;29;937;416;153;231;66.2;1;4;25;109;173;63;82;140;222;51;40;22;52;140;940.9;3;0;-39
