PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Reggie Bullock;SG;NYK;28;3;1;2;59;29;12;25;48;5;11;45.5;0;0;0;2;3;5;2;0;5;0;6;53;0;0;14
Rayjon Tucker;F;UTA;22;3;3;0;12;7;3;5;60;0;2;0;1;3;33.3;1;1;2;0;0;0;0;0;9.4;0;0;-3
Amir Coffey;G;LAC;22;2;1;1;5;5;2;3;66.7;1;2;50;0;0;0;0;0;0;1;0;0;0;1;6.5;0;0;-6
Justin Anderson;G;BKN;26;1;0;1;2;2;1;1;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1
Josh Reaves;G;DAL;22;2;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5
James Harden;SG;HOU;30;34;24;10;1280;1305;383;827;46.3;177;458;38.6;362;419;86.4;34;169;203;257;159;62;28;111;2045.1;11;1;224
Donovan Mitchell;SG;UTA;23;36;24;12;1261;899;336;727;46.2;80;222;36;147;175;84;27;135;162;158;89;39;10;86;1388.4;1;0;117
Zach LaVine;SG;CHI;24;37;13;24;1247;875;298;698;42.7;113;289;39.1;166;204;81.4;26;142;168;147;120;52;17;83;1384.1;1;0;-47
Bradley Beal;SG;WAS;26;31;9;22;1130;862;293;673;43.5;79;251;31.5;197;237;83.1;35;114;149;205;103;33;10;76;1374.3;7;0;-209
Devin Booker;SG;PHX;23;33;14;19;1186;858;302;595;50.8;60;167;35.9;194;213;91.1;20;106;126;213;127;22;8;101;1291.7;4;0;1
CJ McCollum;SG;POR;28;36;15;21;1315;802;319;697;45.8;95;254;37.4;69;85;81.2;27;127;154;136;68;29;24;93;1281.8;1;0;26
Spencer Dinwiddie;SG;BKN;26;35;16;19;1074;793;261;614;42.5;67;226;29.6;204;256;79.7;10;98;108;217;101;27;13;112;1267.1;4;0;19
DeMar DeRozan;SG;SAS;30;35;15;20;1185;760;296;559;53;7;23;30.4;161;198;81.3;20;160;180;173;87;33;12;99;1283.5;3;0;-134
Buddy Hield;SG;SAC;27;37;14;23;1273;759;275;665;41.4;136;369;36.9;73;89;82;35;157;192;115;97;31;12;96;1193.9;2;0;-23
Shai Gilgeous-Alexander;SG;OKC;21;36;20;16;1273;711;261;564;46.3;45;130;34.6;144;180;80;25;168;193;101;70;43;16;61;1201.1;1;0;17
Evan Fournier;SG;ORL;27;37;17;20;1153;695;248;526;47.1;94;231;40.7;105;130;80.8;4;94;98;118;70;37;7;92;1051.6;0;0;-41
Lou Williams;SG;LAC;33;35;24;11;1059;686;226;535;42.2;65;174;37.4;169;197;85.8;14;91;105;221;111;23;5;53;1116.5;2;0;121
Jrue Holiday;SG;NOP;29;34;12;22;1212;667;266;608;43.8;67;196;34.2;68;96;70.8;45;120;165;221;105;58;25;72;1340.5;5;0;-120
Jaylen Brown;SG;BOS;23;30;21;9;1009;621;228;446;51.1;64;162;39.5;101;132;76.5;32;185;217;70;69;32;9;89;1040.4;5;0;104
Fred VanVleet;SG;TOR;25;31;20;11;1125;557;183;464;39.4;80;215;37.2;111;131;84.7;9;111;120;218;77;59;12;69;1164;6;0;83
Kendrick Nunn;SG;MIA;24;36;26;10;1101;556;220;502;43.8;72;212;34;44;55;80;10;92;102;133;66;33;7;86;931.9;0;0;122
Alec Burks;SG;GSW;28;35;8;27;1019;553;181;428;42.3;55;151;36.4;136;153;88.9;25;132;157;106;54;43;11;77;1008.4;1;0;-174
JJ Redick;SG;NOP;35;35;12;23;995;545;171;379;45.1;109;236;46.2;94;105;89.5;8;93;101;68;40;12;6;56;782.2;0;0;-38
Joe Harris;SG;BKN;28;35;16;19;1114;513;192;407;47.2;93;218;42.7;36;46;78.3;31;110;141;78;48;22;12;81;853.2;0;0;5
D'Angelo Russell;SG;GSW;23;22;6;16;691;511;179;413;43.3;74;204;36.3;79;103;76.7;6;68;74;133;67;19;8;48;813.3;0;0;-127
Jordan Clarkson;SG;UTA;27;35;14;21;812;506;174;391;44.5;73;193;37.8;85;100;85;23;56;79;76;44;19;11;45;760.8;0;0;-90
Will Barton;SG;DEN;29;34;24;10;1125;504;195;428;45.6;53;147;36.1;61;81;75.3;56;181;237;125;47;38;15;73;1087.9;7;0;194
RJ Barrett;SG;NYK;19;35;10;25;1105;481;178;457;38.9;39;124;31.5;86;150;57.3;38;145;183;91;77;37;15;80;916.1;2;0;-190
Terrence Ross;SG;ORL;28;35;16;19;878;469;162;390;41.5;74;217;34.1;71;84;84.5;9;89;98;31;34;34;11;54;734.1;0;0;-48
Tyler Herro;SG;MIA;19;35;25;10;1001;466;170;409;41.6;71;188;37.8;55;65;84.6;12;138;150;75;65;23;3;44;771.5;0;0;14
Tim Hardaway Jr.;SG;DAL;27;33;22;11;838;454;158;373;42.4;86;221;38.9;52;64;81.3;11;75;86;56;29;20;3;53;681.2;0;0;165
Josh Richardson;SG;PHI;26;30;17;13;960;451;167;385;43.4;54;151;35.8;63;82;76.8;24;75;99;105;63;33;19;85;820.3;0;0;83
Luke Kennard;SG;DET;23;28;11;17;922;442;151;342;44.2;73;183;39.9;67;75;89.3;9;89;98;115;43;12;6;65;743.1;0;0;-22
Bogdan Bogdanovic;SG;SAC;27;30;13;17;842;434;158;371;42.6;79;206;38.3;39;59;66.1;10;79;89;108;61;32;8;61;761.8;2;0;-41
Markelle Fultz;SG;ORL;21;36;17;19;955;411;168;366;45.9;17;67;25.4;58;78;74.4;14;93;107;159;69;45;7;71;864.9;0;0;12
Langston Galloway;SG;DET;28;37;13;24;956;404;134;307;43.6;79;196;40.3;57;65;87.7;16;67;83;54;25;27;8;43;664.6;0;0;-42
Bryn Forbes;SG;SAS;26;35;15;20;907;392;137;342;40.1;77;211;36.5;41;47;87.2;9;76;85;62;31;17;0;64;607;0;0;-114
Norman Powell;SG;TOR;26;27;19;8;780;388;140;284;49.3;51;131;38.9;57;69;82.6;15;90;105;46;43;30;11;52;663;0;0;44
Gary Harris;SG;DEN;25;34;24;10;1124;375;142;335;42.4;47;145;32.4;44;53;83;19;78;97;75;36;46;9;80;732.9;0;0;136
Jeremy Lamb;SG;IND;27;26;17;9;784;367;134;297;45.1;33;96;34.4;66;77;85.7;16;110;126;68;34;34;15;58;733.2;2;0;59
Garrett Temple;SG;BKN;33;34;16;18;1003;359;124;340;36.5;71;224;31.7;40;52;76.9;20;96;116;89;42;30;16;64;727.7;0;0;-43
Anfernee Simons;SG;POR;20;37;15;22;823;354;135;322;41.9;45;135;33.3;39;51;76.5;16;78;94;52;35;14;5;74;566.8;1;0;-171
Ben McLemore;SG;HOU;26;35;24;11;825;344;112;277;40.4;84;237;35.4;36;45;80;13;71;84;33;29;24;8;71;561.3;1;0;204
Seth Curry;SG;DAL;29;34;21;13;757;340;118;263;44.9;59;152;38.8;45;48;93.8;15;53;68;59;37;19;6;60;548.1;0;0;93
Malik Monk;SG;CHA;21;38;14;24;754;331;127;298;42.6;36;137;26.3;41;50;82;16;87;103;74;48;18;8;54;595.6;1;0;-77
Troy Brown Jr.;SG;WAS;20;33;11;22;837;331;129;284;45.4;23;75;30.7;50;64;78.1;41;151;192;70;39;44;4;62;771.4;2;0;-77
Kentavious Caldwell-Pope;SG;LAL;26;36;29;7;915;329;120;261;46;49;116;42.2;40;51;78.4;22;55;77;64;33;29;7;66;592.4;0;0;93
Danny Green;SG;LAL;32;36;29;7;915;316;112;259;43.2;72;186;38.7;20;26;76.9;25;106;131;47;33;41;16;83;681.7;0;0;202
Bruce Brown;SG;DET;23;36;13;23;976;309;119;266;44.7;20;60;33.3;51;76;67.1;34;127;161;135;65;42;17;100;816.7;1;0;-51
Furkan Korkmaz;SG;PHI;22;37;23;14;757;305;113;259;43.6;58;154;37.7;21;28;75;8;74;82;30;24;20;7;52;505.4;0;0;78
Damion Lee;SG;GSW;27;24;6;18;633;296;99;237;41.8;32;87;36.8;66;75;88;22;105;127;52;29;21;1;44;563.4;3;0;-34
Kevin Huerter;SG;ATL;21;26;7;19;703;291;103;247;41.7;53;139;38.1;32;38;84.2;14;84;98;89;47;26;12;54;609.1;0;0;-120
Kevin Porter Jr.;SG;CLE;19;34;10;24;742;289;111;253;43.9;27;91;29.7;40;55;72.7;12;100;112;66;59;29;6;89;568.4;0;0;-204
Jarrett Culver;SG;MIN;20;34;14;20;792;287;115;314;36.6;30;125;24;27;66;40.9;41;74;115;69;42;36;23;74;663.5;0;0;-43
Justin Holiday;SG;IND;30;37;23;14;926;285;99;243;40.7;61;157;38.9;26;31;83.9;16;111;127;53;21;39;20;64;672.9;0;0;30
Marcus Smart;SG;BOS;25;25;18;7;792;285;97;267;36.3;49;156;31.4;42;54;77.8;22;61;83;117;31;37;13;60;679.1;0;0;78
Donte DiVincenzo;SG;MIL;22;34;30;4;767;284;107;243;44;37;115;32.2;33;41;80.5;31;126;157;77;40;50;8;58;721.9;0;0;273
Wesley Matthews;SG;MIL;33;35;29;6;844;271;92;218;42.2;56;149;37.6;31;39;79.5;7;77;84;48;24;25;6;52;512.8;0;0;257
Austin Rivers;SG;HOU;27;33;23;10;746;262;95;231;41.1;42;129;32.6;30;44;68.2;18;60;78;51;20;18;6;61;484.1;0;0;73
Jordan McRae;SG;WAS;28;20;7;13;445;260;91;208;43.8;33;74;44.6;45;57;78.9;10;55;65;56;25;14;11;42;472;0;0;4
Delon Wright;SG;DAL;27;34;22;12;690;257;95;192;49.5;23;57;40.4;44;52;84.6;30;89;119;110;27;46;12;40;711.8;0;0;61
Josh Okogie;SG;MIN;21;33;14;19;789;256;80;210;38.1;22;85;25.9;74;97;76.3;43;107;150;47;50;30;14;70;588.5;0;0;-34
E'Twaun Moore;SG;NOP;30;25;11;14;519;253;99;233;42.5;38;95;40;17;27;63;18;61;79;41;15;15;3;42;448.3;0;0;-10
Terence Davis;SG;TOR;22;36;24;12;603;250;90;192;46.9;43;109;39.4;27;29;93.1;23;86;109;65;34;19;6;54;519.3;0;0;160
Svi Mykhailiuk;SG;DET;22;32;11;21;605;226;75;184;40.8;57;132;43.2;19;24;79.2;8;37;45;46;34;19;2;42;378;0;0;25
Jordan Poole;SG;GSW;20;31;7;24;665;218;67;257;26.1;33;138;23.9;51;60;85;4;54;58;56;31;21;7;50;424.6;0;0;-107
DeAndre' Bembry;SG;ATL;25;36;8;28;788;217;92;197;46.7;12;52;23.1;21;41;51.2;31;106;137;72;48;44;16;67;621.4;2;0;-223
Kyle Korver;SG;MIL;38;33;27;6;551;208;67;163;41.1;55;133;41.4;19;22;86.4;8;53;61;40;27;15;7;40;380.2;0;0;95
Landry Shamet;SG;LAC;22;21;13;8;556;188;61;145;42.1;42;107;39.3;24;25;96;3;38;41;33;19;10;4;64;309.7;0;0;3
Malik Beasley;SG;DEN;23;27;17;10;433;188;71;175;40.6;37;93;39.8;9;11;81.8;6;33;39;25;22;13;4;30;301.3;0;0;-25
Alex Caruso;SG;LAL;25;33;27;6;647;185;66;151;43.7;21;64;32.8;32;43;74.4;9;59;68;57;30;36;8;51;454.1;0;0;150
Damyean Dotson;SG;NYK;25;30;9;21;509;182;67;166;40.4;32;101;31.7;16;23;69.6;4;47;51;41;13;13;4;23;342.7;0;0;-36
Grayson Allen;SG;MEM;24;22;8;14;382;177;62;139;44.6;29;73;39.7;24;27;88.9;3;48;51;31;20;5;1;31;282.7;0;0;-54
Marco Belinelli;SG;SAS;33;31;13;18;498;177;62;174;35.6;31;90;34.4;22;30;73.3;1;50;51;39;13;7;0;25;304.7;0;0;14
Pat Connaughton;SG;MIL;27;35;31;4;629;177;68;155;43.9;25;81;30.9;16;23;69.6;24;127;151;66;28;12;19;37;522.2;0;0;97
Avery Bradley;SG;LAL;29;22;16;6;528;175;76;169;45;14;59;23.7;9;12;75;13;42;55;27;27;21;2;53;323.5;0;0;77
Dwayne Bacon;SG;CHA;24;29;8;21;501;173;65;196;33.2;14;53;26.4;29;42;69;12;59;71;35;25;19;2;37;348.7;0;0;-104
Caris LeVert;SG;BKN;25;10;4;6;300;164;64;147;43.5;15;38;39.5;21;33;63.6;10;35;45;37;34;6;1;20;260.5;0;0;-8
Treveon Graham;SG;MIN;26;29;11;18;612;157;57;163;35;18;78;23.1;25;35;71.4;28;65;93;26;16;16;2;60;345.6;0;0;-107
Nickeil Alexander-Walker;SG;NOP;21;28;9;19;356;155;57;167;34.1;30;87;34.5;11;18;61.1;4;56;60;48;27;9;4;33;311;0;0;-31
Terrance Ferguson;SG;OKC;21;30;17;13;792;153;55;142;38.7;36;111;32.4;7;9;77.8;19;36;55;27;21;17;7;102;310.5;0;0;-39
Lonnie Walker IV;SG;SAS;21;27;13;14;312;148;59;131;45;12;33;36.4;18;28;64.3;12;43;55;16;18;8;4;32;256;0;0;49
Matisse Thybulle;SG;PHI;22;30;21;9;529;145;49;112;43.8;31;67;46.3;16;24;66.7;8;24;32;37;28;43;22;62;405.9;0;0;7
Eric Gordon;SG;HOU;31;12;8;4;343;142;47;142;33.1;30;96;31.3;18;29;62.1;5;16;21;13;18;6;3;24;195.7;0;0;-28
Sterling Brown;SG;MIL;24;27;22;5;427;140;49;128;38.3;22;67;32.8;20;27;74.1;15;85;100;27;26;17;3;31;334.5;0;0;92
Denzel Valentine;SG;CHI;26;21;8;13;266;133;50;120;41.7;28;73;38.4;5;5;100;3;38;41;21;12;14;5;28;258.7;0;0;-12
Allen Crabbe;SG;ATL;27;24;3;21;449;132;48;128;37.5;27;84;32.1;9;12;75;8;47;55;24;11;13;3;30;271;0;0;-156
Hamidou Diallo;SG;OKC;21;16;7;9;329;130;55;117;47;2;15;13.3;18;27;66.7;16;39;55;12;16;20;5;39;273;1;0;7
Marko Guduric;SG;MEM;24;27;10;17;385;127;47;127;37;18;64;28.1;15;17;88.2;12;42;54;37;28;9;6;25;264.3;0;0;-75
Dzanan Musa;SG;BKN;20;26;12;14;340;118;40;113;35.4;11;53;20.8;27;35;77.1;10;41;51;27;24;10;1;19;228.7;0;0;-40
Allonzo Trier;SG;NYK;23;16;2;14;205;114;34;66;51.5;15;37;40.5;31;39;79.5;1;21;22;21;20;2;4;23;169.9;0;0;-64
Theo Pinson;SG;BKN;24;24;11;13;318;113;42;142;29.6;14;71;19.7;15;16;93.8;9;36;45;46;31;11;2;31;244;0;0;-37
Troy Daniels;SG;LAL;28;26;20;6;317;110;40;103;38.8;26;74;35.1;4;7;57.1;4;24;28;8;7;7;1;18;172.6;0;0;-9
David Nwaba;SG;BKN;26;20;8;12;268;104;37;71;52.1;12;28;42.9;18;27;66.7;8;37;45;8;8;11;12;32;231;0;0;35
Jerome Robinson;SG;LAC;22;30;20;10;357;101;38;108;35.2;15;53;28.3;10;17;58.8;4;43;47;29;21;8;7;42;224.9;0;0;71
Rodney McGruder;SG;LAC;28;26;17;9;437;98;37;94;39.4;17;54;31.5;7;14;50;15;59;74;16;9;13;6;44;258.8;0;0;58
Gary Trent Jr.;SG;POR;20;24;9;15;290;97;35;92;38;23;59;39;4;4;100;5;20;25;11;7;8;3;20;169.5;0;0;-33
Garrison Mathews;SG;WAS;23;15;6;9;196;93;23;50;46;18;42;42.9;29;32;90.6;6;17;23;10;7;3;1;26;140.6;0;0;47
Wayne Ellington;SG;NYK;32;19;3;16;263;77;26;82;31.7;21;70;30;4;6;66.7;1;30;31;17;12;5;2;20;148.7;0;0;-27
Jacob Evans;SG;GSW;22;17;5;12;255;76;25;81;30.9;8;21;38.1;18;21;85.7;4;22;26;16;18;4;6;25;143.2;0;0;-42
Javonte Green;SG;BOS;26;27;20;7;209;75;33;59;55.9;3;14;21.4;6;9;66.7;8;29;37;8;10;7;4;20;154.4;0;0;-8
Timothe Luwawu-Cabarrot;SG;BKN;24;13;3;10;231;68;22;59;37.3;10;30;33.3;14;19;73.7;7;22;29;10;14;6;1;25;124.8;0;0;-51
CJ Miles;SG;WAS;32;10;4;6;161;64;19;59;32.2;11;35;31.4;15;20;75;4;8;12;12;4;10;4;14;134.4;0;0;-8
Justin James;SG;SAC;22;19;7;12;180;59;25;62;40.3;6;21;28.6;3;11;27.3;4;22;26;11;7;5;8;13;138.7;0;0;-31
Matt Thomas;SG;TOR;25;12;9;3;136;57;20;37;54.1;14;26;53.8;3;5;60;1;12;13;4;4;4;0;12;86.6;0;0;29
Iman Shumpert;SG;BKN;29;13;9;4;241;54;21;64;32.8;8;33;24.2;4;7;57.1;9;25;34;12;10;12;2;21;144.8;0;0;-52
Terance Mann;SG;LAC;23;22;15;7;203;52;21;42;50;2;9;22.2;8;10;80;3;22;25;28;12;6;3;26;139;0;0;14
Shake Milton;SG;PHI;23;11;9;2;99;45;15;41;36.6;5;22;22.7;10;13;76.9;2;13;15;8;13;1;1;15;68;0;0;3
Deonte Burton;SG;OKC;25;19;11;8;156;42;17;51;33.3;5;25;20;3;5;60;4;21;25;6;5;1;3;17;88;0;0;-13
Tyrone Wallace;SG;ATL;25;14;3;11;160;40;14;44;31.8;1;15;6.7;11;17;64.7;3;19;22;13;10;7;1;19;99.9;0;0;-32
Ryan Broekhoff;SG;DAL;29;10;7;3;77;37;11;25;44;10;20;50;5;6;83.3;1;13;14;4;2;2;1;7;66.8;0;0;5
Courtney Lee;SG;DAL;34;9;7;2;72;33;13;22;59.1;7;12;58.3;0;0;0;0;3;3;3;2;0;2;6;45.1;0;0;9
Jaylen Nowell;SG;MIN;20;7;1;6;81;31;11;31;35.5;2;17;11.8;7;8;87.5;2;3;5;6;3;0;1;3;46;0;0;-6
Romeo Langford;SG;BOS;20;9;8;1;92;21;7;18;38.9;2;9;22.2;5;6;83.3;4;4;8;2;2;3;2;6;46.6;0;0;44
Kadeem Allen;SG;NYK;26;3;1;2;37;18;7;16;43.8;3;5;60;1;3;33.3;1;2;3;8;5;2;0;3;34.6;0;0;-14
Malcolm Miller;SG;TOR;26;20;17;3;110;18;6;19;31.6;5;15;33.3;1;6;16.7;1;13;14;8;3;4;2;10;61.8;0;0;43
Naz Mitrou-Long;SG;IND;26;3;2;1;43;14;6;16;37.5;2;11;18.2;0;0;0;0;6;6;7;2;1;1;1;35.7;0;0;18
Melvin Frazier Jr.;SG;ORL;23;10;3;7;37;12;4;14;28.6;3;6;50;1;2;50;1;2;3;1;1;2;1;7;25.1;0;0;-3
Charles Brown Jr.;SG;ATL;22;4;0;4;16;7;1;3;33.3;1;1;100;4;4;100;2;1;3;0;0;0;1;0;13.6;0;0;10
Yuta Watanabe;SG;MEM;25;4;1;3;18;7;3;6;50;1;2;50;0;0;0;1;4;5;0;1;0;1;1;15;0;0;13
