PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
James Harden;SG;HOU;30;61;39;22;2241;2096;603;1386;43.5;271;769;35.2;619;719;86.1;64;324;388;450;273;106;53;206;3440.6;19;4;253
Trae Young;PG;ATL;21;60;18;42;2120;1778;546;1249;43.7;205;568;36.1;481;559;86;32;223;255;560;289;65;8;104;2854;28;2;-228
Bradley Beal;SG;WAS;26;57;20;37;2053;1741;593;1303;45.5;170;481;35.3;385;457;84.2;52;190;242;347;194;71;23;126;2639.9;8;0;-201
Giannis Antetokounmpo;PF;MIL;25;57;48;9;1763;1690;623;1139;54.7;83;271;30.6;361;570;63.3;130;653;783;329;209;59;58;173;3265.1;52;4;648
Damian Lillard;PG;POR;29;58;27;31;2140;1677;531;1162;45.7;226;573;39.4;389;438;88.8;30;220;250;453;168;59;21;98;2728.5;16;1;67
Devin Booker;SG;PHX;23;62;26;36;2241;1619;544;1118;48.7;126;350;36;405;442;91.6;27;231;258;408;244;45;16;188;2479.6;10;0;44
Luka Doncic;PG;DAL;21;54;34;20;1799;1549;512;1111;46.1;156;491;31.8;369;491;75.2;69;433;502;470;227;59;10;134;2836.4;34;14;261
LeBron James;SF;LAL;35;60;47;13;2094;1544;586;1176;49.8;133;381;34.9;239;343;69.7;59;414;473;636;239;74;30;106;3138.6;42;13;483
Zach LaVine;SG;CHI;25;60;20;40;2085;1530;539;1199;45;184;484;38;268;334;80.2;41;248;289;254;206;88;28;131;2399.8;2;0;-191
Donovan Mitchell;SG;UTA;23;63;40;23;2165;1525;560;1235;45.3;156;428;36.4;249;290;85.9;44;232;276;264;167;66;12;154;2319.2;1;0;93
Anthony Davis;PF;LAL;27;55;43;12;1889;1467;508;994;51.1;65;194;33.5;386;457;84.5;124;393;517;172;135;82;134;138;2858.4;27;0;285
Russell Westbrook;PG;HOU;31;53;34;19;1905;1456;568;1199;47.4;51;201;25.4;269;346;77.7;94;332;426;370;236;88;17;187;2601.2;21;8;141
CJ McCollum;SG;POR;28;62;28;34;2229;1395;549;1212;45.3;174;458;38;123;164;75;41;213;254;268;116;46;39;159;2240.8;4;0;28
Jayson Tatum;PF;BOS;22;59;41;18;2043;1390;499;1113;44.8;167;420;39.8;225;279;80.6;57;361;418;174;132;83;53;121;2428.6;10;0;440
Kawhi Leonard;SF;LAC;28;51;38;13;1643;1370;476;1016;46.9;107;292;36.6;311;350;88.9;52;321;373;254;140;92;31;98;2427.6;13;1;398
Brandon Ingram;PF;NOP;22;56;23;33;1918;1358;469;1006;46.6;137;354;38.7;283;330;85.8;49;301;350;241;174;56;37;162;2244.5;9;0;0
DeMar DeRozan;SG;SAS;30;61;26;35;2091;1352;503;956;52.6;8;30;26.7;338;401;84.3;39;305;344;340;147;62;14;164;2355.8;6;0;-142
Collin Sexton;PG;CLE;21;65;19;46;2143;1349;513;1086;47.2;97;255;38;226;267;84.6;61;143;204;192;158;65;7;142;1939.8;0;0;-397
Spencer Dinwiddie;SG;BKN;26;64;30;34;1994;1318;424;1021;41.5;123;400;30.8;347;446;77.8;32;189;221;432;174;40;21;180;2240.2;9;0;52
Nikola Jokic;C;DEN;25;65;43;22;2101;1313;512;969;52.8;71;226;31.4;218;268;81.3;155;508;663;446;202;77;43;200;2935.6;39;12;246
Bojan Bogdanovic;SF;UTA;30;63;41;22;2083;1275;418;935;44.7;189;457;41.4;250;277;90.3;39;220;259;131;159;34;7;110;1746.3;0;0;267
Buddy Hield;SG;SAC;27;64;28;36;2045;1268;456;1062;42.9;244;618;39.5;112;131;85.5;57;249;306;197;150;60;17;150;2011.7;2;0;-51
Tobias Harris;SF;PHI;27;65;39;26;2243;1259;494;1046;47.2;117;323;36.2;154;191;80.6;54;386;440;205;97;49;35;148;2249.5;10;0;133
Pascal Siakam;PF;TOR;25;53;40;13;1882;1253;459;1000;45.9;115;320;35.9;220;275;80;57;342;399;191;132;53;49;151;2192.3;12;0;359
Julius Randle;PF;NYK;25;64;21;43;2080;1248;463;1006;46;64;231;27.7;258;352;73.3;151;471;622;198;193;51;22;178;2317.4;30;0;-244
Shai Gilgeous-Alexander;SG;OKC;21;63;39;24;2214;1216;442;935;47.3;78;222;35.1;254;317;80.1;45;339;384;208;117;70;45;108;2216.8;9;1;148
Dennis Schroder;PG;OKC;26;63;39;24;1952;1199;442;945;46.8;122;320;38.1;193;230;83.9;19;214;233;256;159;43;14;138;1874.6;0;0;245
Andrew Wiggins;SF;GSW;25;54;15;39;1859;1175;437;978;44.7;111;334;33.2;190;268;70.9;66;208;274;198;132;45;53;127;1962.8;4;1;-201
Montrezl Harrell;C;LAC;26;63;44;19;1749;1173;471;812;58;0;18;0;231;351;65.8;163;282;445;107;108;39;72;146;2092.5;12;0;251
Khris Middleton;SF;MIL;28;55;44;11;1653;1159;424;850;49.9;133;318;41.8;178;196;90.8;40;301;341;225;113;51;7;122;1966.7;5;0;493
Evan Fournier;SG;ORL;27;61;26;35;1931;1149;408;869;47;165;406;40.6;168;205;82;17;140;157;193;120;70;14;147;1758.9;0;0;-121
Domantas Sabonis;C;IND;23;62;37;25;2159;1147;458;848;54;17;67;25.4;214;296;72.3;189;582;771;310;170;47;30;195;2598.2;50;4;163
