PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Karl-Anthony Towns;C;MIN;24;17;9;8;563;441;149;297;50.2;64;152;42.1;79;98;80.6;44;169;213;70;56;17;24;56;868.6;15;0;33
Montrezl Harrell;C;LAC;25;21;15;6;624;394;164;278;59;0;8;0;66;101;65.3;62;105;167;47;39;18;26;46;757.9;6;0;140
LaMarcus Aldridge;C;SAS;34;20;7;13;656;377;153;296;51.7;11;31;35.5;60;72;83.3;41;93;134;50;33;13;36;43;726.8;2;0;-102
Joel Embiid;C;PHI;25;16;12;4;481;365;118;258;45.7;19;62;30.6;110;135;81.5;43;154;197;45;47;14;23;55;732.9;12;0;112
Andre Drummond;C;DET;26;20;7;13;681;341;144;265;54.3;0;10;0;53;85;62.4;93;248;341;62;79;30;36;80;962.2;16;0;-11
Domantas Sabonis;C;IND;23;17;11;6;584;314;122;238;51.3;5;20;25;65;81;80.2;63;158;221;61;46;12;9;60;687.7;14;0;79
Jaren Jackson Jr.;C;MEM;20;18;6;12;474;268;98;215;45.6;37;93;39.8;35;44;79.5;23;64;87;24;32;8;19;72;457.4;1;0;-122
Bam Adebayo;C;MIA;22;19;14;5;608;265;96;167;57.5;1;6;16.7;72;110;65.5;46;155;201;80;53;29;23;48;729.2;11;0;73
Nikola Jokic;C;DEN;24;17;13;4;527;265;108;236;45.8;16;69;23.2;33;43;76.7;37;139;176;102;45;19;9;56;668.2;7;3;109
Tristan Thompson;C;CLE;28;18;5;13;567;254;107;207;51.7;3;7;42.9;37;60;61.7;74;113;187;42;28;15;22;45;624.4;11;0;-44
Wendell Carter Jr.;C;CHI;20;20;6;14;579;254;99;174;56.9;2;13;15.4;54;79;68.4;75;119;194;18;26;13;16;81;574.8;10;0;4
Hassan Whiteside;C;POR;30;17;8;9;469;251;102;175;58.3;0;0;0;47;62;75.8;62;149;211;16;34;7;37;50;626.2;11;0;34
Thomas Bryant;C;WAS;22;18;6;12;511;251;101;184;54.9;10;35;28.6;39;53;73.6;42;111;153;48;24;8;18;44;560.6;5;0;-117
Jonas Valanciunas;C;MEM;27;18;5;13;444;244;103;186;55.4;10;30;33.3;28;33;84.8;47;130;177;34;39;5;16;47;531.4;11;0;-68
Nikola Vucevic;C;ORL;29;14;6;8;431;239;95;211;45;16;50;32;33;39;84.6;41;121;162;49;20;9;15;27;558.9;10;0;59
Rudy Gobert;C;UTA;27;18;11;7;617;239;87;136;64;0;0;0;65;103;63.1;59;189;248;20;41;16;36;58;681.6;12;0;57
Jarrett Allen;C;BKN;21;20;10;10;529;231;90;135;66.7;0;1;0;51;88;58;68;141;209;23;23;13;25;52;607.3;9;0;43
Clint Capela;C;HOU;25;15;9;6;478;219;100;157;63.7;0;0;0;19;43;44.2;56;164;220;15;23;13;30;43;611.5;11;0;15
Moritz Wagner;C;WAS;22;17;6;11;329;204;79;130;60.8;19;44;43.2;27;32;84.4;26;69;95;23;40;12;12;66;384.5;2;0;37
Brook Lopez;C;MIL;31;19;16;3;513;203;69;168;41.1;28;97;28.9;37;40;92.5;11;83;94;30;20;14;46;43;520.8;2;0;158
Cody Zeller;C;CHA;27;18;6;12;437;201;79;153;51.6;12;33;36.4;31;48;64.6;55;88;143;22;26;9;6;44;424.6;4;0;-128
Richaun Holmes;C;SAC;26;18;8;10;494;199;85;131;64.9;0;0;0;29;38;76.3;44;104;148;16;19;14;27;74;504.6;6;0;29
Aron Baynes;C;PHX;32;13;7;6;312;191;71;126;56.3;25;57;43.9;24;34;70.6;19;55;74;38;14;4;9;51;361.8;1;0;44
Larry Nance Jr.;C;CLE;26;17;5;12;441;188;72;133;54.1;22;56;39.3;22;31;71;35;95;130;22;16;19;7;28;439;3;0;-113
Bobby Portis;C;NYK;24;20;4;16;438;178;71;177;40.1;22;57;38.6;14;20;70;35;84;119;22;20;14;6;35;393.8;3;0;-91
Frank Kaminsky;C;PHX;26;18;8;10;416;176;59;147;40.1;19;66;28.8;39;57;68.4;16;79;95;37;20;5;7;38;361.5;1;0;-31
Ivica Zubac;C;LAC;22;21;15;6;338;173;67;111;60.4;0;1;0;39;48;81.3;48;90;138;18;19;4;22;53;424.6;3;0;21
Kelly Olynyk;C;MIA;28;19;14;5;432;166;57;122;46.7;31;71;43.7;21;24;87.5;18;80;98;28;27;19;7;48;376.6;1;0;79
Steven Adams;C;OKC;26;16;7;9;420;157;69;118;58.5;0;0;0;19;41;46.3;43;101;144;45;22;8;15;30;444.3;4;0;14
Bismack Biyombo;C;CHA;27;19;6;13;308;149;58;97;59.8;0;0;0;33;60;55;29;47;76;16;13;6;14;37;311.2;1;0;-28
JaVale McGee;C;LAL;31;20;17;3;337;142;63;103;61.2;0;0;0;16;25;64;39;89;128;15;17;12;24;41;409.1;2;0;58
Jaxson Hayes;C;NOP;19;17;6;11;337;140;55;91;60.4;0;2;0;30;47;63.8;33;42;75;12;16;14;17;52;325;1;0;36
Mitchell Robinson;C;NYK;21;16;3;13;324;140;55;79;69.6;0;0;0;30;45;66.7;44;55;99;9;15;9;30;59;374.3;1;0;-82
Willie Cauley-Stein;C;GSW;26;18;3;15;407;138;62;115;53.9;0;0;0;14;19;73.7;26;92;118;31;17;19;20;52;426.1;1;0;-111
