PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
TJ Leaf;PF;IND;22;12;6;6;146;52;22;51;43.1;3;8;37.5;5;8;62.5;17;34;51;6;5;6;3;13;144.2;1;0;4
Tobias Harris;SF;PHI;27;13;8;5;449;229;92;186;49.5;14;55;25.5;31;39;79.5;11;92;103;46;29;16;9;44;467.6;3;0;35
Tomas Satoransky;PG;CHI;28;14;4;10;358;114;42;95;44.2;16;36;44.4;14;16;87.5;11;32;43;65;29;19;2;31;297.1;0;0;-13
Tony Bradley;C;UTA;21;9;6;3;84;37;15;27;55.6;0;0;0;7;12;58.3;14;15;29;1;4;2;2;15;81.3;0;0;-21
Tony Snell;SF;DET;28;13;4;9;352;120;43;93;46.2;30;66;45.5;4;4;100;5;14;19;23;6;7;2;23;198.3;0;0;-47
Torrey Craig;SF;DEN;28;11;8;3;167;28;10;35;28.6;4;18;22.2;4;6;66.7;8;26;34;12;5;3;8;23;114.8;0;0;-38
Trae Young;PG;ATL;21;12;4;8;405;324;105;235;44.7;38;103;36.9;76;93;81.7;6;42;48;104;61;19;1;15;536.6;5;0;-65
Treveon Graham;SG;MIN;26;14;8;6;361;89;34;101;33.7;7;43;16.3;14;18;77.8;17;37;54;21;9;12;1;36;215.3;0;0;-61
Trevor Ariza;SF;SAC;34;11;5;6;227;46;15;42;35.7;12;32;37.5;4;5;80;4;34;38;9;7;9;0;19;125.1;0;0;-42
Trey Burke;PG;PHI;27;3;2;1;53;22;8;19;42.1;2;4;50;4;6;66.7;2;7;9;11;1;2;1;2;57.3;0;0;15
Trey Lyles;PF;SAS;24;14;5;9;282;62;24;53;45.3;10;27;37;4;7;57.1;25;79;104;19;13;3;4;18;223.3;0;0;-39
Tristan Thompson;C;CLE;28;13;4;9;411;188;80;151;53;3;7;42.9;25;40;62.5;55;76;131;29;21;11;19;36;457.7;8;0;-5
Troy Brown Jr.;SG;WAS;20;8;2;6;183;62;25;55;45.5;5;17;29.4;7;8;87.5;13;29;42;16;8;10;1;8;161.4;1;0;-16
Troy Daniels;SG;LAL;28;10;8;2;154;51;18;54;33.3;12;42;28.6;3;3;100;2;14;16;6;3;3;1;7;88.2;0;0;-17
Tyler Cook;PF;CLE;22;5;2;3;14;10;4;5;80;0;0;0;2;2;100;3;2;5;0;0;1;0;0;19;0;0;-5
Tyler Herro;SG;MIA;19;11;8;3;318;146;51;117;43.6;18;48;37.5;26;30;86.7;3;46;49;23;23;9;1;13;246.3;0;0;42
Tyler Johnson;PG;PHX;27;13;7;6;249;87;32;77;41.6;13;37;35.1;10;12;83.3;3;18;21;27;15;3;3;18;155.7;0;0;-30
Tyrone Wallace;SG;ATL;25;10;2;8;120;33;11;31;35.5;0;9;0;11;17;64.7;3;16;19;10;9;3;0;16;70.8;0;0;-12
Tyson Chandler;C;HOU;37;12;9;3;119;23;10;14;71.4;0;0;0;3;5;60;14;25;39;6;2;4;6;16;106.8;0;0;59
Tyus Jones;PG;MEM;23;14;5;9;288;98;40;100;40;5;27;18.5;13;19;68.4;0;20;20;71;20;14;0;16;250.5;0;0;-74
