PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Nikola Jokic;C;DEN;25;60;41;19;1942;1251;485;910;53.3;70;213;32.9;211;259;81.5;144;465;609;408;180;73;40;184;2752.8;36;12;243
Montrezl Harrell;C;LAC;26;59;41;18;1654;1104;448;773;58;0;16;0;208;320;65;157;263;420;103;104;39;68;137;1979.5;11;0;235
Domantas Sabonis;C;IND;23;57;34;23;1967;1046;417;771;54.1;14;61;23;198;272;72.8;174;538;712;281;150;43;29;187;2387.9;46;4;185
Joel Embiid;C;PHI;25;43;27;16;1302;1001;323;684;47.2;54;158;34.2;301;370;81.4;117;389;506;134;131;37;58;148;1963.2;33;0;120
LaMarcus Aldridge;C;SAS;34;52;22;30;1717;977;381;770;49.5;60;153;39.2;155;187;82.9;103;287;390;127;73;33;83;127;1910.5;14;0;-135
Bam Adebayo;C;MIA;22;60;38;22;2063;972;375;656;57.2;1;13;7.7;221;320;69.1;152;478;630;304;166;74;76;149;2468;36;3;199
Andre Drummond;C;CLE;26;55;20;35;1811;961;399;754;52.9;5;33;15.2;158;274;57.7;244;596;840;149;196;107;89;191;2584.5;46;0;-205
Nikola Vucevic;C;ORL;29;49;22;27;1587;937;381;822;46.4;76;233;32.6;99;128;77.3;121;408;529;179;71;43;45;112;2033.3;31;0;-8
Karl-Anthony Towns;C;MIN;24;35;10;25;1187;926;316;622;50.8;114;277;41.2;180;226;79.6;95;283;378;153;110;33;42;117;1724.1;24;0;-15
Jaren Jackson Jr.;C;MEM;20;54;28;26;1512;914;328;701;46.8;135;340;39.7;123;166;74.1;53;201;254;76;94;36;87;219;1607.8;3;0;-113
Hassan Whiteside;C;POR;30;56;26;30;1742;895;375;613;61.2;3;5;60;142;207;68.6;226;569;795;69;107;23;172;167;2430.5;46;0;50
Rudy Gobert;C;UTA;27;57;36;21;1975;871;331;478;69.2;0;0;0;209;340;61.5;201;603;804;86;115;40;111;176;2302.8;43;0;271
Jonas Valanciunas;C;MEM;27;57;27;30;1483;830;349;610;57.2;28;77;36.4;104;142;73.2;169;453;622;102;97;24;64;151;1896.4;29;0;-28
Serge Ibaka;C;TOR;30;47;33;14;1275;746;303;585;51.8;59;152;38.8;81;111;73;97;281;378;62;94;24;39;131;1387.6;16;0;82
Tristan Thompson;C;CLE;28;55;17;38;1675;673;283;549;51.5;9;21;42.9;98;155;63.2;223;338;561;115;100;33;48;119;1661.7;25;0;-369
Jarrett Allen;C;BKN;21;59;26;33;1541;641;251;386;65;0;5;0;139;223;62.3;180;385;565;83;64;35;83;139;1733.5;26;0;67
Brook Lopez;C;MIL;31;57;49;8;1513;615;223;530;42.1;77;267;28.8;92;111;82.9;38;216;254;91;57;40;144;132;1551.3;3;0;484
Steven Adams;C;OKC;26;54;34;20;1455;603;250;422;59.2;1;3;33.3;102;168;60.7;185;324;509;134;79;44;61;104;1650.8;20;0;141
Cody Zeller;C;CHA;27;53;16;37;1224;587;232;449;51.7;17;72;23.6;106;156;67.9;146;230;376;77;66;36;24;131;1267.7;9;0;-232
