PLAYER;POS;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;PLUS
Karl-Anthony Towns;C;MIN;24;20;9;11;673;516;177;348;50.9;73;173;42.2;89;111;80.2;50;181;231;93;60;21;27;68;1016.7;15;0;19
Montrezl Harrell;C;LAC;25;24;17;7;703;451;186;310;60;0;9;0;79;127;62.2;70;118;188;50;40;19;28;55;852.6;6;0;132
Joel Embiid;C;PHI;25;19;14;5;577;417;133;290;45.9;21;67;31.3;130;161;80.7;48;189;237;56;64;17;26;66;850.4;14;0;108
Andre Drummond;C;DET;26;23;9;14;786;406;171;314;54.5;0;12;0;64;102;62.7;109;282;391;72;86;40;45;88;1152.2;19;0;18
LaMarcus Aldridge;C;SAS;34;21;8;13;691;396;161;314;51.3;12;33;36.4;62;74;83.8;44;103;147;51;34;13;37;46;764.9;3;0;-104
Domantas Sabonis;C;IND;23;21;14;7;722;386;153;295;51.9;5;24;20.8;75;96;78.1;75;200;275;78;60;16;12;79;857;18;0;97
Jaren Jackson Jr.;C;MEM;20;21;6;15;567;340;123;272;45.2;44;115;38.3;50;62;80.6;27;75;102;29;39;11;24;86;571.9;1;0;-160
Nikola Jokic;C;DEN;24;21;14;7;650;338;138;297;46.5;19;83;22.9;43;54;79.6;45;167;212;128;54;23;12;68;835.4;9;3;103
Bam Adebayo;C;MIA;22;23;17;6;761;336;124;214;57.9;1;7;14.3;87;132;65.9;57;185;242;94;68;32;28;59;879.4;13;0;96
Hassan Whiteside;C;POR;30;21;9;12;592;322;132;217;60.8;0;0;0;58;77;75.3;77;183;260;28;42;10;47;62;805;15;0;-3
Rudy Gobert;C;UTA;27;21;12;9;712;298;112;168;66.7;0;0;0;74;120;61.7;70;211;281;29;45;17;39;67;801.7;15;0;60
Wendell Carter Jr.;C;CHI;20;24;8;16;724;291;112;198;56.6;2;15;13.3;65;93;69.9;85;154;239;21;36;18;20;97;687.3;12;0;25
Jonas Valanciunas;C;MEM;27;20;5;15;493;286;120;208;57.7;10;30;33.3;36;45;80;53;143;196;37;45;8;18;55;609.7;12;0;-79
Tristan Thompson;C;CLE;28;21;5;16;651;286;121;237;51.1;3;7;42.9;41;67;61.2;83;128;211;51;31;18;25;54;713.7;12;0;-92
Jarrett Allen;C;BKN;21;23;13;10;610;284;112;169;66.3;0;1;0;60;100;60;85;158;243;27;28;18;30;57;732.1;12;0;65
Richaun Holmes;C;SAC;26;22;9;13;637;272;117;174;67.2;0;0;0;38;50;76;63;127;190;24;21;20;30;90;665;8;0;14
Clint Capela;C;HOU;25;18;11;7;583;259;117;183;63.9;0;0;0;25;54;46.3;76;188;264;19;32;16;35;54;725.3;13;0;30
Thomas Bryant;C;WAS;22;18;6;12;511;251;101;184;54.9;10;35;28.6;39;53;73.6;42;111;153;48;24;8;18;44;560.6;5;0;-117
Cody Zeller;C;CHA;27;22;7;15;517;248;101;188;53.7;13;38;34.2;33;51;64.7;63;105;168;27;35;12;10;53;521.1;4;0;-123
Nikola Vucevic;C;ORL;29;14;6;8;431;239;95;211;45;16;50;32;33;39;84.6;41;121;162;49;20;9;15;27;558.9;10;0;59
Frank Kaminsky;C;PHX;26;22;10;12;531;235;83;195;42.6;24;79;30.4;45;67;67.2;24;95;119;48;24;8;9;48;476.8;1;0;-21
Moritz Wagner;C;WAS;22;20;7;13;403;235;90;153;58.8;22;54;40.7;33;40;82.5;31;90;121;25;43;15;12;77;455.7;2;0;-14
Brook Lopez;C;MIL;31;21;18;3;556;214;72;183;39.3;29;104;27.9;41;44;93.2;11;92;103;30;22;15;52;47;561.6;2;0;170
